Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier,Mileage,Partnumber,Family
Ashok Leyland,2024,2024-07-31 0:00:00,QC-2024-7603,Engine not starting - EDC,"P3052, U0111, P1674",Sensor short due to moisture,Production Failure,Valeo,62291KM,6508.317.492,CF 26.8.47
Hyundai,2020,2020-06-26 0:00:00,QC-2020-4818,Engine not starting - EDC,"P1939, P061C, P3094",ASIC CJ327 failure due to EOS,According to Specification,Bosch,574KM,3847.291.506,JR 19.6.84
Kia,2021,2021-11-19 0:00:00,QC-2021-8703,Engine not starting - EDC,"P06B0, U0130, U0212, P0688",NTF,Customer Failure,Delphi,5743KM,8459.067.312,CF 26.8.47
Kia,2019,2019-05-07 0:00:00,QC-2019-2789,EDC Diagonostic Lamp glowing,"P0455, P067E, P12D5, P06C3",Sensor short due to moisture,Production Failure,Bosch,2764KM,3271.584.960,HV 14.5.38
Kia,2020,2020-01-20 0:00:00,QC-2020-3908,Engine not starting - EDC,"U0166, P1387, U0202, P1D3C",Sensor short due to moisture,According to Specification,Bosch,5743KM,9067.342.185,QW 56.2.90
M&M,2023,2023-02-05 0:00:00,QC-2023-3059,Engine not starting - EDC,"U1121, U0429",Connector damage,Production Failure,Valeo,37833KM,1293.847.562,DM 39.1.76
Kia,2019,2019-04-05 0:00:00,QC-2019-3725,EDC Diagonostic Lamp glowing,"P20FF, U103E, P1D3C, P0605",NTF,Customer Failure,Bosch,32893KM,5612.748.093,WK 83.2.50
Toyota,2021,2021-08-11 0:00:00,QC-2021-6117,Engine not starting - EDC,"U0402, U049D, P1D3C, U0235, U101D",Sensor short due to moisture,According to Specification,Hanon,433KM,1293.847.562,DM 39.1.76
Kia,2021,2021-01-27 0:00:00,QC-2021-2627,Engine not accelerating - EDC,"U0100, P060A, P0607",controller failure due to supplier production failure,Customer Failure,Bosch,10098KM,2163.879.045,AE 48.7.13
M&M,2021,2021-08-08 0:00:00,QC-2021-5846,Theft Protect Active,"P060D, P0697, P1640, P1686, P1387",Sensor short due to moisture,According to Specification,STM,59029KM,5938.761.204,TR 15.7.82
Toyota,2023,2023-09-30 0:00:00,QC-2023-2945,not teaching,"P20FF, U0100, P1640, P2610, P068B",controller failure due to supplier production failure,Production Failure,Delphi,46784KM,5612.748.093,PG 33.6.59
Ashok Leyland,2022,2022-06-14 0:00:00,QC-2022-8370,Not teaching,"P0455, P0607, P20FF, P068B",Track burnt due to EOS,Customer Failure,Valeo,19835KM,7689.145.203,TR 15.7.82
TATA,2020,2020-09-09 0:00:00,QC-2020-4796,Not teaching,"P3094, P0607, P3093",ASIC CJ327 failure due to EOS,Customer Failure,STM,54935KM,4382.510.967,HV 14.5.38
TATA,2023,2023-04-14 0:00:00,QC-2023-3130,Not teaching,"P0455, U0100, U0114, U0305, U0411",NTF,According to Specification,Hanon,12725KM,1293.847.562,HV 14.5.38
Hyundai,2022,2022-12-09 0:00:00,QC-2022-2171,STARTING PROBLEM,"P0455, P3099",Track burnt due to EOS,Production Failure,STM,86471KM,8795.234.106,CF 26.8.47
Honda,2019,2019-11-22 0:00:00,QC-2019-5155,STARTING PROBLEM,"P0455, U0140, U1121, U10F1",NTF,Production Failure,Bosch,9915KM,3847.291.506,BX 42.3.17
TATA,2019,2019-02-22 0:00:00,QC-2019-3679,STARTING PROBLEM,"P0455, P3095, P1388, P0600",controller failure due to supplier production failure,Production Failure,STM,12843KM,1293.847.562,DM 39.1.76
TATA,2020,2020-02-05 0:00:00,QC-2020-4673,HHC LIGHT ON,"U0100, P3099, P1603",Track burnt due to EOS,According to Specification,,18324KM,7016.423.895,CF 26.8.47
Toyota,2019,2019-12-06 0:00:00,QC-2019-5458,POOR PICK UP,"P1564, U1040, P1D3F",NTF,According to Specification,STM,17315KM,3074.928.615,YC 72.4.61
TATA,2020,2020-08-31 0:00:00,QC-2020-8601,STARTING PROBLEM,"U0100, U0038, U0201",NTF,Production Failure,Valeo,59029KM,5938.761.204,TR 15.7.82
Honda,2022,2022-10-16 0:00:00,QC-2022-9579,Driver demand not met on enhaging accele,"P0605, P1D3F, P06D1, P0607, U0301",Sensor short due to moisture,Production Failure,Hanon,19835KM,7689.145.203,BX 42.3.17
Honda,2023,2023-10-12 0:00:00,QC-2023-3655,Malfunction,"U0100, P3093, U0106, U0111, P06F9",NTF,Production Failure,Delphi,11770KM,1293.847.562,YC 72.4.61
Hyundai,2019,2019-04-07 0:00:00,QC-2019-8092,Engine stalls due to ignition,"P06D1, P2247, P1388, U0401, P1686",Sensor short due to moisture,Production Failure,STM,37661KM,3074.928.615,SL 67.9.25
Ashok Leyland,2024,2024-01-25 0:00:00,QC-2024-3672,Cannot connect to connector,"P2610, P1D4A",Connector damage,Production Failure,,12843KM,8459.067.312,WK 83.2.50
TATA,2020,2020-10-25 0:00:00,QC-2020-2831,Engine Indicator Light On AT light On,"U0115, P0611, P3094",Connector damage,Production Failure,STM,90KM,7016.423.895,NZ 21.8.44
Kia,2024,2024-01-10 0:00:00,QC-2024-3517,Starting problem,"U1123, P1674",Sensor short due to moisture,Customer Failure,Bosch,433KM,8795.234.106,AE 48.7.13
TATA,2020,2020-11-06 0:00:00,QC-2020-6281,OBD lamp coming while running,"P0455, U0038, U0115",Sensor short due to moisture,Customer Failure,Bosch,37390KM,5938.761.204,TR 15.7.82
M&M,2023,2023-01-01 0:00:00,QC-2023-2182,MCU - 6 BEEP,"P0301, P0607, P1603, P20FF",Track burnt due to EOS,Production Failure,Valeo,670KM,2163.879.045,ME 17.9.71
Honda,2024,2024-06-19 0:00:00,QC-2024-9147,MCU - FLICKERING,"U0100, U1207, U0424, U0415, P2243",NTF,Customer Failure,Hanon,27952KM,5938.761.204,TR 15.7.82
M&M,2020,2020-08-08 0:00:00,QC-2020-5965,Left H/L turn lamp no work,"P163E, P3098, P0641",Connector damage,Customer Failure,Bosch,151KM,2163.879.045,BX 42.3.17
Ashok Leyland,2019,2019-08-07 0:00:00,QC-2019-9597,"Fr, Rr combination lamp cannot OFF","P060F, U0402, P061C, U0164",controller failure due to supplier production failure,According to Specification,STM,90KM,3271.584.960,AE 48.7.13
Kia,2021,2021-08-15 0:00:00,QC-2021-4692,"A/C air no blow, H/L always ON","P1686, P06D1",Connector damage,Customer Failure,Bosch,40337KM,2163.879.045,TR 15.7.82
Kia,2024,2024-07-08 0:00:00,QC-2024-8148,Faulty ECM; MIL engine was ON,"U0100, U0401, U0302, P151B, U0322",NTF,Production Failure,Valeo,12725KM,7016.423.895,ME 17.9.71
Hyundai,2023,2023-02-25 0:00:00,QC-2023-5350,POOR PICKUP,"P1559, P0641, U0442, P0697, P211F",Track burnt due to EOS,Customer Failure,Hanon,10120KM,9241.653.870,DM 39.1.76
TATA,2021,2021-05-18 0:00:00,QC-2021-4363,ENGINE NOT STARTING,"U0100, U0404, P3054, U0201, P1D40",Track burnt due to EOS,Production Failure,Delphi,670KM,2784.913.650,KF 28.4.63
TATA,2022,2022-01-10 0:00:00,QC-2022-2206,,"U0100, P1388, P1D43, P2247",Connector damage,Production Failure,Bosch,46784KM,6103.825.479,PG 33.6.59
Honda,2020,2020-05-27 0:00:00,QC-2020-1292,"VEHICLE REPORTED ALTERNATOR NOT,WORKING.","P06D1, P0600, P1387",ASIC CJ327 failure due to EOS,Customer Failure,Valeo,9065KM,3074.928.615,YC 72.4.61
Kia,2019,2019-02-20 0:00:00,QC-2019-6739,VEHICLE NOT MOVING,"P3093, P3097",ASIC CJ327 failure due to EOS,According to Specification,,17002KM,9067.342.185,ME 17.9.71
Toyota,2022,2022-02-21 0:00:00,QC-2022-9065,ENGINE NOT STARTING,"U0428, U0200, P068A",controller failure due to supplier production failure,According to Specification,Valeo,5397KM,5612.748.093,KF 28.4.63
Honda,2019,2019-10-03 0:00:00,QC-2019-7685,WARNING LIGHT GLOWING,"U0100, P060A, U0038",Track burnt due to EOS,Customer Failure,Bosch,27952KM,5938.761.204,QW 56.2.90
Hyundai,2020,2020-10-18 0:00:00,QC-2020-8714,ECM STARTING PROBLEM,"U0404, P1939, U0199, U0159",Sensor short due to moisture,According to Specification,Valeo,5397KM,4382.510.967,DM 39.1.76
Toyota,2022,2022-05-27 0:00:00,QC-2022-9253,POOR PICKUP,"P0301, P1386, P1D49",NTF,Customer Failure,Bosch,5397KM,8795.234.106,BX 42.3.17
Hyundai,2021,2021-08-16 0:00:00,QC-2021-8484,"DTC ERROR CODE- P1642, P1622","P061C, P1686, P1602, U0442, P1D4A",ASIC CJ327 failure due to EOS,Production Failure,Hanon,33238KM,8795.234.106,BX 42.3.17
TATA,2020,2020-09-25 0:00:00,QC-2020-4917,,"P1D3D, P1387, P1D42, P068B, P1610",Connector damage,According to Specification,STM,9915KM,7016.423.895,JR 19.6.84
Honda,2024,2024-01-31 0:00:00,QC-2024-4993,STARTING PROBLEM DTC P229E-01,"U0112, P3049",Track burnt due to EOS,According to Specification,Delphi,17315KM,1647.098.753,JR 19.6.84
Honda,2021,2021-09-05 0:00:00,QC-2021-3381,ENGINE STARTING ISSUE,"U0100, U0114, U0422, U10E5, P0686",Sensor short due to moisture,Customer Failure,Hanon,151KM,8795.234.106,TR 15.7.82
Hyundai,2023,2023-06-28 0:00:00,QC-2023-5021,ELECTRICAL PROBLEM FC P0120-12 P018F-00,"P1610, P1603, P0606, P1387, U0442",Sensor short due to moisture,Production Failure,Bosch,15214KM,8795.234.106,SL 67.9.25
Toyota,2020,2020-08-25 0:00:00,QC-2020-8232,VEHICLE SUDDENLY OFF WHILE RUNNING,"P0455, P0606, P0607, P1D43, P1D44",Track burnt due to EOS,Customer Failure,Valeo,670KM,8795.234.106,PG 33.6.59
Honda,2023,2023-02-09 0:00:00,QC-2023-4897,ENGINE MISSING & MIL LIGHT GLOWING,"P0301, U0100, P0384",Sensor short due to moisture,Production Failure,Valeo,90KM,4521.673.841,PG 33.6.59
Toyota,2019,2019-03-08 0:00:00,QC-2019-2852,WARNING LIGHT GLOWING,"P2088, P0356, P1603",Sensor short due to moisture,Production Failure,Delphi,433KM,4521.673.841,TR 15.7.82
TATA,2023,2023-03-20 0:00:00,QC-2023-5786,ENGINE OFF WHILE DRIVING,"U0100, P0455",Connector damage,Customer Failure,Hanon,86471KM,1647.098.753,BX 42.3.17
Honda,2021,2021-09-01 0:00:00,QC-2021-1650,WARNING LIGHT GLOWING,"P0015, P0605, P06CF",Track burnt due to EOS,Production Failure,,433KM,4382.510.967,PG 33.6.59
Ashok Leyland,2022,2022-05-07 0:00:00,QC-2022-8715,STARTING PROBLEM,"P0455, U0132, U0402",controller failure due to supplier production failure,Customer Failure,Delphi,67219KM,3847.291.506,HV 14.5.38
M&M,2022,2022-01-05 0:00:00,QC-2022-6546,Vech Come in off condition,"P1602, P1386",Sensor short due to moisture,Production Failure,Delphi,33238KM,4521.673.841,AE 48.7.13
M&M,2021,2021-04-08 0:00:00,QC-2021-4602,Starting Problem,"U0132, U1122, U1207",Connector damage,Production Failure,Hanon,37661KM,7016.423.895,KF 28.4.63
M&M,2022,2022-07-07 0:00:00,QC-2022-3130,DRIVE MODE not working,"U0100, P0301, P1386",Track burnt due to EOS,Production Failure,STM,5397KM,1647.098.753,DM 39.1.76
TATA,2019,2019-08-15 0:00:00,QC-2019-4143,6 beep,"P0301, P1387, U0115, P3094, P1386",Sensor short due to moisture,Customer Failure,STM,19835KM,4521.673.841,DM 39.1.76
Honda,2019,2019-02-11 0:00:00,QC-2019-4055,Long BEEP,"P1D4A, U0100, P3092, P2247",Sensor short due to moisture,Customer Failure,STM,26439KM,1647.098.753,SL 67.9.25
Hyundai,2019,2019-11-12 0:00:00,QC-2019-2196,10 beep,"P1387, P06F9, P3099",Sensor short due to moisture,Customer Failure,Bosch,62291KM,5938.761.204,TR 15.7.82
Hyundai,2023,2023-02-02 0:00:00,QC-2023-2369,mode not entering,"U0100, U102B, U0121, P0600",NTF,Production Failure,,574KM,3847.291.506,CF 26.8.47
Hyundai,2022,2022-05-05 0:00:00,QC-2022-1611,motor struck up,"U0100, P1686, P1D3C, P1604",Track burnt due to EOS,Customer Failure,Valeo,10098KM,4382.510.967,DM 39.1.76
Toyota,2020,2020-10-25 0:00:00,QC-2020-6241,vehicle not running,"U0301, P1604, P1D49, P1D42, P0605",ASIC CJ327 failure due to EOS,Customer Failure,Valeo,33238KM,9067.342.185,ME 17.9.71
Ashok Leyland,2019,2019-10-12 0:00:00,QC-2019-9993,"PICKUP LOW,VEHICLE NOT RUN ABOVE 40KM SP","P3325, P0122, P0639, P0560, P2103",ASIC CJ327 failure due to EOS,Customer Failure,,32893KM,4521.673.841,JR 19.6.84
TATA,2021,2021-12-09 0:00:00,QC-2021-7516,ECU NOT WORKING,"P0641, U0401, U0100, P3093, P0651",Sensor short due to moisture,According to Specification,Valeo,37661KM,3074.928.615,AE 48.7.13
Hyundai,2020,2020-02-14 0:00:00,QC-2020-8116,MIL LIGHT GLOWING IN CLUSTER METER,"U0100, U0126, U049C",Track burnt due to EOS,Customer Failure,Delphi,17002KM,9067.342.185,HV 14.5.38
Honda,2024,2024-06-28 0:00:00,QC-2024-7704,STOP IN RUNNING,"P0301, P060D",ASIC CJ327 failure due to EOS,Production Failure,STM,26439KM,2784.913.650,NZ 21.8.44
Toyota,2023,2023-09-07 0:00:00,QC-2023-9736,DEF LIGHT ON,"U0100, P0301, P220E, P2473, P193E",Sensor short due to moisture,Production Failure,Bosch,12843KM,7834.156.920,WK 83.2.50
Honda,2024,2024-04-06 0:00:00,QC-2024-8897,STARTING PROBLEM,"P1D3F, U040D",Connector damage,Customer Failure,Bosch,67219KM,3847.291.506,NZ 21.8.44
M&M,2022,2022-03-11 0:00:00,QC-2022-1178,OBD LIGHT ON,"P1386, P1387, P06D2, P0600",controller failure due to supplier production failure,Production Failure,STM,32893KM,1647.098.753,WK 83.2.50
Toyota,2020,2020-05-05 0:00:00,QC-2020-8896,POOR PICK UP,"P2243, P06D1, P2247, U0212",NTF,According to Specification,Hanon,18324KM,2163.879.045,KF 28.4.63
Honda,2019,2019-01-10 0:00:00,QC-2019-3030,OBD LIGHT ON,"U1123, P160A, U0038, U030B, U0028",NTF,Customer Failure,STM,10098KM,4521.673.841,NZ 21.8.44
Hyundai,2024,2024-09-29 0:00:00,QC-2024-5072,ABS LIGHT ON,"P3095, P1D41, P0600",Connector damage,Production Failure,Hanon,5397KM,8459.067.312,WK 83.2.50
M&M,2019,2019-09-23 0:00:00,QC-2019-8178,OBD LIGHT ON,"P0455, P1D49",ASIC CJ327 failure due to EOS,Production Failure,STM,86471KM,7016.423.895,PG 33.6.59
Toyota,2019,2019-12-18 0:00:00,QC-2019-1138,OBD LIGHT ON,"P1D4A, P1D42",ASIC CJ327 failure due to EOS,Customer Failure,Valeo,12843KM,2784.913.650,YC 72.4.61
M&M,2019,2019-06-03 0:00:00,QC-2019-6004,ENGINE NOT STARTING,"P1939, U10F1, P3050, U0163, P3097",ASIC CJ327 failure due to EOS,According to Specification,,46784KM,3847.291.506,NZ 21.8.44
Honda,2024,2024-06-07 0:00:00,QC-2024-9246,STARTING PROBLEM,"P0605, U0164",controller failure due to supplier production failure,According to Specification,Hanon,574KM,2163.879.045,TR 15.7.82
Honda,2021,2021-01-21 0:00:00,QC-2021-8429,STARTING PROBLEM,"U040D, U0323, P1674, P0697, P1D42",Track burnt due to EOS,According to Specification,,27952KM,1647.098.753,CF 26.8.47
Kia,2021,2021-12-16 0:00:00,QC-2021-6582,STARTING PROBLEM,"P3048, P0562",ASIC CJ327 failure due to EOS,Production Failure,,37390KM,9067.342.185,QW 56.2.90
Toyota,2020,2020-09-06 0:00:00,QC-2020-7354,STARTING PROBLEM,"U0100, P061C, U1207",Connector damage,Production Failure,Valeo,12725KM,3271.584.960,ME 17.9.71
M&M,2021,2021-05-07 0:00:00,QC-2021-3794,STARTING PROBLEM,"P0455, U0029",Sensor short due to moisture,Production Failure,,32893KM,9241.653.870,CF 26.8.47
TATA,2021,2021-05-11 0:00:00,QC-2021-3878,STARTING PROBLEM,"P0301, U102F",Connector damage,Production Failure,STM,17002KM,8459.067.312,CF 26.8.47
Kia,2022,2022-12-11 0:00:00,QC-2022-8265,DTC- O2 sensor pumping current defect,"P0301, P117C",ASIC CJ327 failure due to EOS,According to Specification,Delphi,8457KM,6103.825.479,HV 14.5.38
M&M,2022,2022-02-22 0:00:00,QC-2022-2433,STARTING PROBLEM,"P3049, U1122, P0562, P060D, P0611",controller failure due to supplier production failure,Customer Failure,Bosch,2047KM,2784.913.650,NZ 21.8.44
Toyota,2021,2021-07-25 0:00:00,QC-2021-6421,STARTING PROBLEM,"U0100, P1658, U040D, U0126, P061C",controller failure due to supplier production failure,Customer Failure,STM,27952KM,2163.879.045,QW 56.2.90
TATA,2022,2022-03-25 0:00:00,QC-2022-2330,Lamp on,"U0100, P0560",Sensor short due to moisture,Customer Failure,Bosch,33238KM,7689.145.203,DM 39.1.76
Ashok Leyland,2020,2020-03-03 0:00:00,QC-2020-8145,WARNING LIGHT GLOWING,"P067B, P069C",controller failure due to supplier production failure,According to Specification,,16528KM,2163.879.045,YC 72.4.61
Hyundai,2024,2024-04-09 0:00:00,QC-2024-3660,ECU NOT WORKING,"U0100, P211F, P1386, P1640",Sensor short due to moisture,Production Failure,Delphi,16528KM,4382.510.967,DM 39.1.76
Toyota,2024,2024-10-14 0:00:00,QC-2024-1297,PICKUP WARNING LIGHT GLOWING-P2127,"P0325, P11A5, P2315, P1277, P0393",controller failure due to supplier production failure,Production Failure,,46784KM,4382.510.967,DM 39.1.76
Ashok Leyland,2024,2024-03-07 0:00:00,QC-2024-7485,ENGINE NOT STARTING,"U101D, U1006, U0111",ASIC CJ327 failure due to EOS,Customer Failure,Valeo,433KM,9067.342.185,KF 28.4.63
Toyota,2021,2021-01-20 0:00:00,QC-2021-2706,ENGINE NOT STARTING & F I FUSE BURN AGAI,"P1388, P1658, U0452, P3049",Track burnt due to EOS,Production Failure,Hanon,37661KM,2163.879.045,BX 42.3.17
Honda,2019,2019-11-29 0:00:00,QC-2019-4522,ECU NOT WORKING,"P1604, P1D3C, P06F9, P151B",Sensor short due to moisture,Production Failure,Bosch,433KM,5612.748.093,SL 67.9.25
Ashok Leyland,2019,2019-04-27 0:00:00,QC-2019-3934,VEHICLE LONG CRANKING,"P0455, U0100, P04DB",controller failure due to supplier production failure,Customer Failure,STM,670KM,5938.761.204,BX 42.3.17
TATA,2024,2024-11-05 0:00:00,QC-2024-2271,,"P151B, P0605, P2610, P3096, P3092",Connector damage,According to Specification,Hanon,26439KM,7834.156.920,KF 28.4.63
Toyota,2023,2023-05-04 0:00:00,QC-2023-3519,Engine abnormal due to fuel hammer,"U0100, P1D40, P3097, P0611, P3092",ASIC CJ327 failure due to EOS,Customer Failure,,5743KM,1293.847.562,ME 17.9.71
Toyota,2019,2019-09-29 0:00:00,QC-2019-7532,SARTING PROBLEM,"P0455, P060F",Connector damage,Production Failure,STM,12725KM,7016.423.895,ME 17.9.71
M&M,2021,2021-10-12 0:00:00,QC-2021-1233,ENGINE NOT STARTING,"U140A, P3092, U0121",Track burnt due to EOS,According to Specification,,17315KM,2163.879.045,YC 72.4.61
M&M,2021,2021-10-17 0:00:00,QC-2021-3910,SARTING PROBLEM,"P0301, P3097, P1D4A, P0605",Connector damage,Production Failure,Valeo,670KM,7689.145.203,WK 83.2.50
TATA,2020,2020-03-02 0:00:00,QC-2020-7731,SARTING PROBLEM,"U0100, P3096",Sensor short due to moisture,Customer Failure,,15214KM,3271.584.960,QW 56.2.90
Hyundai,2021,2021-01-28 0:00:00,QC-2021-7954,SARTING PROBLEM,"P211F, P1D40, P068B, P0607",ASIC CJ327 failure due to EOS,According to Specification,Delphi,27952KM,4521.673.841,JR 19.6.84
M&M,2023,2023-03-17 0:00:00,QC-2023-9770,RPM drop & Engine shut down,"U0100, P2247, P1386, P1603",Sensor short due to moisture,Customer Failure,Hanon,11770KM,6103.825.479,PG 33.6.59
Honda,2021,2021-04-18 0:00:00,QC-2021-1213,DEF ERROR,"P225E, P202A",Sensor short due to moisture,Customer Failure,Hanon,12843KM,6508.317.492,BX 42.3.17
Honda,2019,2019-08-08 0:00:00,QC-2019-6015,DEF LEVEL LOW ERROR,"P0455, P2467",Connector damage,Production Failure,,90KM,2163.879.045,BX 42.3.17
Toyota,2023,2023-10-29 0:00:00,QC-2023-3598,DEF ERROR,"P246E, P20A2, P203A, P0477, P2473",Sensor short due to moisture,According to Specification,Delphi,90KM,2784.913.650,AE 48.7.13
Toyota,2019,2019-08-08 0:00:00,QC-2019-6996,OVERHEATING,"P011A, P30CB, P30C7, P0116, P0128",Sensor short due to moisture,According to Specification,STM,17002KM,4382.510.967,TR 15.7.82
M&M,2019,2019-04-21 0:00:00,QC-2019-2686,SCR LIGHT ON,"P0301, P226D, P2213",controller failure due to supplier production failure,Production Failure,STM,151KM,2163.879.045,TR 15.7.82
Toyota,2019,2019-10-10 0:00:00,QC-2019-8095,OBD LIGHT ON,"P0301, P0455, P1939, U0159, P060F",NTF,Production Failure,,2047KM,3847.291.506,JR 19.6.84
Hyundai,2019,2019-12-21 0:00:00,QC-2019-8001,"Check Engine cannot start, P0130","P0301, U0130, U0452",ASIC CJ327 failure due to EOS,According to Specification,Bosch,151KM,3271.584.960,JR 19.6.84
M&M,2020,2020-03-20 0:00:00,QC-2020-1451,"Engine Light On, P0443","P3098, U0402, U0199, U0302, U0416",Sensor short due to moisture,Customer Failure,Delphi,15214KM,9067.342.185,QW 56.2.90
TATA,2020,2020-04-20 0:00:00,QC-2020-7520,Car suddenly stop moving while driving,"P0611, P06D2, P1D3C, P1D49",controller failure due to supplier production failure,Customer Failure,Delphi,33238KM,7016.423.895,AE 48.7.13
TATA,2019,2019-10-10 0:00:00,QC-2019-3739,"Engine Light On,P0130","P3094, P1D3E, P13E5",ASIC CJ327 failure due to EOS,According to Specification,Valeo,670KM,3271.584.960,YC 72.4.61
TATA,2019,2019-04-16 0:00:00,QC-2019-2380,ECU Cannot detect engine Torque,"U0212, P1D3C, U0307",controller failure due to supplier production failure,Customer Failure,Valeo,12843KM,7689.145.203,JR 19.6.84
TATA,2019,2019-11-26 0:00:00,QC-2019-2783,NG,"P068B, P0641",controller failure due to supplier production failure,According to Specification,Delphi,2764KM,4382.510.967,TR 15.7.82
TATA,2023,2023-08-16 0:00:00,QC-2023-2461,DTC Error,"P1D3B, P1D3E, P0560",ASIC CJ327 failure due to EOS,Production Failure,,26439KM,7689.145.203,CF 26.8.47
Kia,2023,2023-07-10 0:00:00,QC-2023-5180,,"P0697, P1D42, P0606",Connector damage,Production Failure,Delphi,18324KM,7834.156.920,TR 15.7.82
Honda,2024,2024-10-24 0:00:00,QC-2024-9444,Wrong P/N was possibly delivered.,"P1D3F, P1D40, P211F, P163E",Track burnt due to EOS,According to Specification,Bosch,37661KM,7689.145.203,HV 14.5.38
Kia,2023,2023-01-05 0:00:00,QC-2023-8507,BCM Negative Response,"P052F, P1D44, P060A, P06B0",controller failure due to supplier production failure,Production Failure,Delphi,12725KM,4521.673.841,HV 14.5.38
Kia,2020,2020-05-11 0:00:00,QC-2020-8610,Engine Warning light On,"P151B, P1D40, U0416",Connector damage,Production Failure,Valeo,67219KM,6508.317.492,HV 14.5.38
Ashok Leyland,2022,2022-10-17 0:00:00,QC-2022-4872,VEHICLE REPORTED ENGINE LIGHT GLOWING.,"P11B3, P06F9, P11D1, U0469, P000C",ASIC CJ327 failure due to EOS,Customer Failure,Valeo,40337KM,3271.584.960,HV 14.5.38
Ashok Leyland,2020,2020-11-09 0:00:00,QC-2020-5135,VEHICLE REPORTED ENGINE LIGHT GLOWING.,"U0100, P0455, P000C",Connector damage,Customer Failure,Valeo,10120KM,7016.423.895,BX 42.3.17
M&M,2024,2024-11-10 0:00:00,QC-2024-3450,VEHICLE WHILE SPORT MODE AUTOMATICALLY,"P0455, U0464, U049C, U0302, P06A3",NTF,Customer Failure,,27952KM,5938.761.204,BX 42.3.17
Kia,2024,2024-07-24 0:00:00,QC-2024-1571,VEHICLE REPORTED FOR ABS LIGHT.,"P06D1, P0651, P3092, P1D42, U0301",controller failure due to supplier production failure,Production Failure,Delphi,54935KM,4521.673.841,KF 28.4.63
Toyota,2024,2024-09-06 0:00:00,QC-2024-6619,VEHICLE REPORTED STARTING PROBLEM.,"P0301, U0401, U102F, P3094",Connector damage,According to Specification,Bosch,2047KM,5938.761.204,QW 56.2.90
M&M,2022,2022-06-07 0:00:00,QC-2022-6675,BCM Negative Response,"P0697, U0401",Connector damage,Customer Failure,Bosch,37833KM,3074.928.615,CF 26.8.47
Hyundai,2019,2019-08-13 0:00:00,QC-2019-2349,Tail License lamp always ON,"U0100, U0442, U140A, P1D3E, P1D3D",Sensor short due to moisture,According to Specification,Delphi,10120KM,2163.879.045,YC 72.4.61
Ashok Leyland,2021,2021-09-14 0:00:00,QC-2021-2265,H/L Rear combination lamp always ON,"P0301, U0424, U100F, U0428, U10C2",NTF,According to Specification,,8457KM,1293.847.562,SL 67.9.25
Kia,2021,2021-08-13 0:00:00,QC-2021-5463,inoperate,"P151B, P06B0, P0605, P2610, U0401",Sensor short due to moisture,Customer Failure,Valeo,574KM,3847.291.506,YC 72.4.61
Toyota,2024,2024-11-27 0:00:00,QC-2024-6187,malfuntion,"U0112, P1D42, U0110",NTF,Customer Failure,Bosch,10098KM,8795.234.106,ME 17.9.71
Hyundai,2020,2020-08-13 0:00:00,QC-2020-7612,STARTING PROBLEM ERROR P243F-F0 P206A-13,"P2610, U0307, U1121, P06D2",Track burnt due to EOS,Customer Failure,Bosch,8457KM,5938.761.204,QW 56.2.90
Hyundai,2021,2021-12-02 0:00:00,QC-2021-2285,VEHICLE REPORTED FOR STARTING PROBLEM,"P3094, U0112, U0412",ASIC CJ327 failure due to EOS,According to Specification,Bosch,9915KM,4382.510.967,QW 56.2.90
Toyota,2023,2023-05-09 0:00:00,QC-2023-2957,Engine does not start. SAM defect,"P24B6, U0029, P048C, P068B, P0607",NTF,Production Failure,Valeo,9915KM,6103.825.479,CF 26.8.47
Ashok Leyland,2023,2023-02-27 0:00:00,QC-2023-1782,Engine does not start. SAM defect,"U0100, U0235, P21CC, P246F",Connector damage,Customer Failure,Bosch,33238KM,2784.913.650,PG 33.6.59
Ashok Leyland,2024,2024-10-10 0:00:00,QC-2024-8083,"T/M lamp ON, Shift lever does not work,","U140A, P1610, P06D2, P3325",Track burnt due to EOS,Production Failure,,86471KM,7016.423.895,YC 72.4.61
Toyota,2023,2023-08-26 0:00:00,QC-2023-4184,"Turn lamp is double flash moe, Rear turn","P1D3F, P1D3E",ASIC CJ327 failure due to EOS,According to Specification,Bosch,18324KM,6103.825.479,HV 14.5.38
M&M,2023,2023-06-27 0:00:00,QC-2023-8079,Air-con and wiper does not work,"P2247, P060F, P1D3B, P3095, P061C",Sensor short due to moisture,According to Specification,,46784KM,7016.423.895,ME 17.9.71
Hyundai,2022,2022-01-20 0:00:00,QC-2022-2609,"Engine start failure, SAM failure","P1602, P0605, U0115, P1D49, P211F",Track burnt due to EOS,According to Specification,Bosch,9065KM,2163.879.045,CF 26.8.47
M&M,2021,2021-10-28 0:00:00,QC-2021-9693,Backup lamp and buzzer malfunction,"P1D49, P1D4A",Sensor short due to moisture,According to Specification,,54935KM,8459.067.312,JR 19.6.84
TATA,2024,2024-12-21 0:00:00,QC-2024-2147,ENGINE NOT STARTING,"P060D, U1123, U1050, P0615",controller failure due to supplier production failure,According to Specification,Valeo,19835KM,9241.653.870,HV 14.5.38
Toyota,2020,2020-03-23 0:00:00,QC-2020-2220,WARNING LIGHT GLOWING,"P0301, P11A3, U0028, P12CB",controller failure due to supplier production failure,Customer Failure,Hanon,16528KM,7016.423.895,ME 17.9.71
