Customer,Year,Date,QC_Number,Customer Complaint,DTC,Voltage,Failure Analysis,Warranty Decision,Supplier,Mileage_km
Hyundai,2023,2023-06-08,QC-2023-018756,OBD Light ON,,13.6,NTF,According to Specification,Bosch,17571
TATA,2025,2025-10-22,QC-2025-018757,Engine overheating,P0117,12.58,Sensor short due to moisture,Customer Failure,Bosch,50136
TATA,2025,2025-11-09,QC-2025-018758,Multiple warning lights ON,P0610,14.65,ASIC CJ327 failure due to EOS,Production Failure,Bosch,44859
Hyundai,2025,2025-11-09,QC-2025-018759,OBD Light ON,,12.9,NTF,According to Specification,Valeo,18473
Hyundai,2024,2024-05-06,QC-2024-018760,Multiple warning lights ON,"U0001, P0356, P0352, P0301, P0351",18.13,Track burnt due to EOS,Customer Failure,Valeo,52150
Hyundai,2023,2023-06-07,QC-2023-018761,Engine stalling,P0072,12.66,Sensor short due to moisture,Customer Failure,Delphi,36552
Hyundai,2022,2022-09-24,QC-2022-018762,Brake warning light ON,C0265,13.91,Connector damage,Production Failure,Valeo,87013
Hyundai,2025,2025-06-10,QC-2025-018763,Multiple warning lights ON,U0001,9.72,controller failure due to supplier production failure,Production Failure,Bosch,33380
Hyundai,2023,2023-10-13,QC-2023-018764,ABS warning light ON,C0036,12.61,Connector damage,Production Failure,Bosch,64835
Honda,2020,2020-10-03,QC-2020-018765,Rough idling,P0316,13.45,NTF,According to Specification,STM,28738
Toyota,2021,2021-11-30,QC-2021-018766,OBD Light ON,P0455,13.61,NTF,According to Specification,Bosch,16754
Honda,2023,2023-04-06,QC-2023-018767,OBD Light ON,P0340,12.68,NTF,According to Specification,Bosch,13760
M&M,2023,2023-10-12,QC-2023-018768,ABS warning light ON,C0045,14.05,Connector damage,Production Failure,Bosch,42928
Toyota,2020,2020-09-09,QC-2020-018769,Multiple warning lights ON,"U0002, U0155",10.72,controller failure due to supplier production failure,Production Failure,Bosch,7778
TATA,2020,2020-08-13,QC-2020-018770,OBD Light ON,,13.86,NTF,According to Specification,Bosch,71812
Honda,2023,2023-02-01,QC-2023-018771,Battery warning light ON,C0031,12.59,Connector damage,Production Failure,Valeo,94543
Hyundai,2022,2022-12-13,QC-2022-018772,Engine overheating,,13.6,NTF,According to Specification,STM,29634
Hyundai,2019,2019-12-24,QC-2019-018773,Starting Problem,,13.34,NTF,According to Specification,Hanon,19375
Toyota,2025,2025-05-11,QC-2025-018774,Battery warning light ON,"P0562, P0563",15.3,ASIC CJ327 failure due to EOS,Production Failure,Delphi,180000
Kia,2024,2024-03-16,QC-2024-018775,Brake warning light ON,C0265,13.87,Connector damage,Production Failure,Bosch,50435
Toyota,2025,2025-11-14,QC-2025-018776,OBD Light ON,,12.98,NTF,According to Specification,Bosch,16628
Hyundai,2020,2020-07-06,QC-2020-018777,Multiple warning lights ON,"U0155, P0301, P0691, P0500",16.79,Track burnt due to EOS,Customer Failure,Hanon,46296
Ashok Leyland,2025,2025-07-07,QC-2025-018778,Multiple warning lights ON,U0038,10.75,controller failure due to supplier production failure,Production Failure,STM,9548
Honda,2023,2023-10-07,QC-2023-018779,Low pickup,,13.25,NTF,According to Specification,STM,31115
Honda,2025,2025-08-21,QC-2025-018780,Engine overheating,,13.24,NTF,According to Specification,Valeo,42638
Toyota,2025,2025-07-10,QC-2025-018781,OBD Light ON,P0430,13.44,NTF,According to Specification,Valeo,7928
Toyota,2025,2025-06-21,QC-2025-018782,OBD Light ON,P0054,12.21,Sensor short due to moisture,Production Failure,Valeo,110743
Toyota,2025,2025-07-20,QC-2025-018783,Starting Problem,"P0301, P0481, P0615",17.73,Track burnt due to EOS,Customer Failure,Bosch,91053
M&M,2024,2024-04-13,QC-2024-018784,Rough idling,,12.74,NTF,According to Specification,Bosch,58734
Hyundai,2024,2024-07-15,QC-2024-018785,Starting Problem,P0563,14.54,ASIC CJ327 failure due to EOS,Production Failure,STM,39481
Toyota,2023,2023-05-31,QC-2023-018786,Engine overheating,P0097,10.94,Sensor short due to moisture,Customer Failure,Bosch,113831
Hyundai,2022,2022-03-07,QC-2022-018787,OBD Light ON,B2960,13.01,Connector damage,Production Failure,Hanon,98471
Toyota,2023,2023-07-12,QC-2023-018788,Starting Problem,P0327,12.67,NTF,According to Specification,Bosch,61882
Kia,2024,2024-12-20,QC-2024-018789,OBD Light ON,,13.09,NTF,According to Specification,Delphi,53519
Toyota,2025,2025-09-25,QC-2025-018790,Rough idling,P0196,11.95,Sensor short due to moisture,Customer Failure,Valeo,9597
Hyundai,2019,2019-04-12,QC-2019-018791,Multiple warning lights ON,"U0002, U0131",10.23,controller failure due to supplier production failure,Production Failure,Bosch,15446
Ashok Leyland,2024,2024-09-11,QC-2024-018792,Engine overheating,,13.48,NTF,According to Specification,Bosch,14353
TATA,2023,2023-08-02,QC-2023-018793,Engine overheating,"P0694, P0300",17.13,Track burnt due to EOS,Customer Failure,Valeo,58386
Hyundai,2025,2025-04-19,QC-2025-018794,High fuel consumption,P0171,12.91,NTF,According to Specification,Valeo,188383
Hyundai,2019,2019-06-23,QC-2019-018795,Multiple warning lights ON,B3055,13.85,Connector damage,Production Failure,Bosch,69041
Toyota,2025,2025-07-04,QC-2025-018796,Engine jerking during acceleration,"P0351, P1682, U0100, U0101",18.52,Track burnt due to EOS,Customer Failure,Hanon,59410
Kia,2023,2023-07-17,QC-2023-018797,High fuel consumption,P0562,15.28,ASIC CJ327 failure due to EOS,Production Failure,Delphi,23456
Kia,2023,2023-09-17,QC-2023-018798,ABS warning light ON,C0036,12.73,Connector damage,Production Failure,Bosch,2513
Toyota,2025,2025-10-02,QC-2025-018799,Engine jerking during acceleration,"P0352, P0300, P0562, P0617, P0563",16.76,Track burnt due to EOS,Customer Failure,Hanon,55321
Kia,2025,2025-08-24,QC-2025-018800,Rough idling,,13.85,NTF,According to Specification,Delphi,50901
Hyundai,2023,2023-12-23,QC-2023-018801,High fuel consumption,,12.34,NTF,According to Specification,Delphi,14676
Hyundai,2024,2024-09-18,QC-2024-018802,Starting Problem,"U0101, U0100",9.46,controller failure due to supplier production failure,Production Failure,STM,9114
Hyundai,2023,2023-07-06,QC-2023-018803,ABS warning light ON,C0265,13.06,Connector damage,Production Failure,Bosch,2188
Hyundai,2023,2023-06-16,QC-2023-018804,ABS warning light ON,"C0031, B3055",14.15,Connector damage,Production Failure,STM,47695
Honda,2022,2022-10-11,QC-2022-018805,Rough idling,P0069,12.99,Sensor short due to moisture,Customer Failure,Bosch,98297
Ashok Leyland,2022,2022-08-13,QC-2022-018806,Rough idling,"P0354, P0303, P0617, U0101, U0100",19.21,Track burnt due to EOS,Customer Failure,Valeo,61511
Kia,2022,2022-11-11,QC-2022-018807,ABS warning light ON,"C0031, C0036",13.95,Connector damage,Production Failure,Valeo,230000
Toyota,2019,2019-06-28,QC-2019-018808,Multiple warning lights ON,B3055,13.43,Connector damage,Production Failure,Bosch,125915
Kia,2024,2024-08-21,QC-2024-018809,Engine overheating,P0128,12.33,Sensor short due to moisture,Customer Failure,Delphi,29472
M&M,2022,2022-01-04,QC-2022-018810,Engine overheating,,13.27,NTF,According to Specification,Delphi,29932
Hyundai,2020,2020-01-01,QC-2020-018811,Rough idling,P0611,15.59,ASIC CJ327 failure due to EOS,Production Failure,Valeo,21445
Hyundai,2025,2025-04-19,QC-2025-018812,OBD Light ON,,13.62,NTF,According to Specification,Bosch,87178
Hyundai,2024,2024-09-15,QC-2024-018813,High fuel consumption,,13.89,NTF,According to Specification,Delphi,24534
Kia,2025,2025-03-12,QC-2025-018814,Rough idling,P0300,13.56,NTF,According to Specification,Valeo,64048
TATA,2025,2025-10-17,QC-2025-018815,Engine stalling,,12.59,NTF,According to Specification,Hanon,22843
Kia,2025,2025-06-23,QC-2025-018816,Vehicle not starting,"P0303, P0305, P0562, P0563",17.46,Track burnt due to EOS,Customer Failure,Bosch,68915
M&M,2021,2021-05-23,QC-2021-018817,Engine overheating,P0342,13.23,NTF,According to Specification,Valeo,41613
M&M,2025,2025-03-10,QC-2025-018818,High fuel consumption,,13.1,NTF,According to Specification,Valeo,38592
Toyota,2025,2025-01-22,QC-2025-018819,OBD Light ON,B1031,14.4,Connector damage,Production Failure,Delphi,40200
Toyota,2024,2024-11-19,QC-2024-018820,OBD Light ON,"C0036, C0045",12.95,Connector damage,Production Failure,STM,145045
Hyundai,2023,2023-06-07,QC-2023-018821,ABS warning light ON,"C0051, B1045",13.2,Connector damage,Production Failure,Valeo,169521
Ashok Leyland,2023,2023-06-19,QC-2023-018822,OBD Light ON,,13.36,NTF,According to Specification,Bosch,73887
Hyundai,2019,2019-06-24,QC-2019-018823,High fuel consumption,P0135,13.15,Sensor short due to moisture,Customer Failure,Delphi,14950
Hyundai,2023,2023-10-26,QC-2023-018824,Engine stalling,,12.8,NTF,According to Specification,Bosch,28407
Hyundai,2024,2024-04-08,QC-2024-018825,Vehicle not starting,"P0562, P0304, P0481, P0352, P0305",19.6,Track burnt due to EOS,Customer Failure,Valeo,24941
Kia,2024,2024-05-27,QC-2024-018826,OBD Light ON,,13.24,NTF,According to Specification,STM,11794
Hyundai,2023,2023-01-28,QC-2023-018827,High fuel consumption,,14.3,NTF,According to Specification,STM,59858
Kia,2024,2024-11-22,QC-2024-018828,High fuel consumption,P0171,13.2,NTF,According to Specification,Valeo,60463
Kia,2020,2020-02-20,QC-2020-018829,ABS warning light ON,"C0045, C0550, B3055, P0325",14.08,Connector damage,Production Failure,Hanon,224407
Honda,2025,2025-12-24,QC-2025-018830,Rough idling,"P0131, P0112",13.47,Sensor short due to moisture,Customer Failure,Valeo,36613
Toyota,2020,2020-12-26,QC-2020-018831,Multiple warning lights ON,"P0607, P068A, P0605",15.31,ASIC CJ327 failure due to EOS,Production Failure,STM,52199
Ashok Leyland,2025,2025-03-28,QC-2025-018832,Multiple warning lights ON,U0037,9.67,controller failure due to supplier production failure,Production Failure,STM,4760
Ashok Leyland,2024,2024-08-29,QC-2024-018833,Rough idling,,14.77,NTF,According to Specification,Bosch,26226
Hyundai,2024,2024-10-17,QC-2024-018834,ABS warning light ON,C0051,12.16,Connector damage,Production Failure,Delphi,66017
Kia,2025,2025-08-21,QC-2025-018835,OBD Light ON,,12.79,NTF,Production Failure,Valeo,61358
Toyota,2023,2023-03-15,QC-2023-018836,OBD Light ON,,13.55,NTF,According to Specification,Bosch,99823
Toyota,2025,2025-05-29,QC-2025-018837,Multiple warning lights ON,"P0352, U0101, P0351",17.91,Track burnt due to EOS,Customer Failure,Bosch,38054
Hyundai,2024,2024-02-27,QC-2024-018838,Engine overheating,,13.89,NTF,According to Specification,Bosch,22945
Kia,2025,2025-10-26,QC-2025-018839,Engine overheating,"P0304, P0354, P0301",15.58,Track burnt due to EOS,Customer Failure,STM,57481
M&M,2024,2024-03-14,QC-2024-018840,High fuel consumption,U0155,12.16,NTF,According to Specification,Bosch,75988
Hyundai,2025,2025-09-15,QC-2025-018841,Rough idling,P0300,13.45,NTF,According to Specification,Bosch,18193
Honda,2025,2025-06-09,QC-2025-018842,Engine overheating,P0069,12.65,Sensor short due to moisture,Customer Failure,STM,34907
M&M,2025,2025-10-30,QC-2025-018843,Low pickup,P0610,15.53,ASIC CJ327 failure due to EOS,Production Failure,Delphi,28678
TATA,2025,2025-10-06,QC-2025-018844,ABS warning light ON,C0031,12.52,Connector damage,Production Failure,Valeo,27768
TATA,2025,2025-08-20,QC-2025-018845,Low pickup,,13.06,NTF,According to Specification,Valeo,40483
Ashok Leyland,2023,2023-07-16,QC-2023-018846,Engine jerking during acceleration,"P0563, P0562",15.55,ASIC CJ327 failure due to EOS,Production Failure,STM,14578
M&M,2024,2024-01-19,QC-2024-018847,Multiple warning lights ON,"P0563, P0560",19.37,Track burnt due to EOS,Customer Failure,Valeo,85707
M&M,2025,2025-11-05,QC-2025-018848,Low pickup,,11.82,NTF,According to Specification,Bosch,39435
Toyota,2023,2023-09-25,QC-2023-018849,Engine stalling,,12.17,NTF,According to Specification,Bosch,37122
Honda,2023,2023-09-26,QC-2023-018850,OBD Light ON,P0111,11.89,Sensor short due to moisture,Customer Failure,Bosch,144189
Hyundai,2022,2022-12-25,QC-2022-018851,Multiple warning lights ON,P0605,15.06,ASIC CJ327 failure due to EOS,Production Failure,Valeo,36984
Ashok Leyland,2025,2025-11-23,QC-2025-018852,Rough idling,P0327,13.7,NTF,According to Specification,Bosch,67914
Toyota,2022,2022-05-23,QC-2022-018853,Engine jerking during acceleration,"P0563, P0355, P0304, P0562",18.3,Track burnt due to EOS,Production Failure,Hanon,42095
Ashok Leyland,2024,2024-08-25,QC-2024-018854,OBD Light ON,,13.02,NTF,According to Specification,Delphi,54137
TATA,2025,2025-10-08,QC-2025-018855,Multiple warning lights ON,"P0607, P0605",14.57,ASIC CJ327 failure due to EOS,Customer Failure,Valeo,39997
Honda,2024,2024-07-07,QC-2024-018856,ABS warning light ON,C0051,12.55,Connector damage,Production Failure,Valeo,61380
TATA,2025,2025-05-25,QC-2025-018857,Battery warning light ON,"C0265, B1045, C0550",13.82,Connector damage,Production Failure,Bosch,80854
Hyundai,2024,2024-02-23,QC-2024-018858,Vehicle not starting,"P0300, P0355, P0693, P1682",16.14,Track burnt due to EOS,Customer Failure,Valeo,59367
Toyota,2021,2021-06-23,QC-2021-018859,Low pickup,,13.45,NTF,According to Specification,Bosch,43902
Toyota,2020,2020-04-13,QC-2020-018860,OBD Light ON,,13.52,NTF,According to Specification,Valeo,88464
Toyota,2020,2020-10-14,QC-2020-018861,Multiple warning lights ON,B1045,13.49,Connector damage,Production Failure,STM,1072
M&M,2022,2022-11-13,QC-2022-018862,OBD Light ON,,12.82,NTF,According to Specification,Valeo,27008
TATA,2021,2021-08-24,QC-2021-018863,Brake warning light ON,"C0460, B1031",13.29,Connector damage,Production Failure,Bosch,113348
Honda,2024,2024-10-15,QC-2024-018864,Brake warning light ON,"U0128, P0500",10.91,controller failure due to supplier production failure,Production Failure,Delphi,10644
TATA,2021,2021-09-22,QC-2021-018865,Multiple warning lights ON,"U0103, P0340",10.68,controller failure due to supplier production failure,Production Failure,Delphi,12647
Hyundai,2020,2020-07-06,QC-2020-018866,Starting Problem,,13.06,NTF,According to Specification,Bosch,10693
Honda,2025,2025-02-08,QC-2025-018867,Starting Problem,,13.41,NTF,According to Specification,Bosch,20149
M&M,2024,2024-06-19,QC-2024-018868,Transmission jerking,U0001,10.31,controller failure due to supplier production failure,Production Failure,Delphi,13129
M&M,2024,2024-08-17,QC-2024-018869,Starting Problem,P0111,12.54,Sensor short due to moisture,Customer Failure,Bosch,88976
Toyota,2021,2021-05-08,QC-2021-018870,Multiple warning lights ON,U0422,11.4,controller failure due to supplier production failure,Production Failure,STM,60005
Honda,2023,2023-08-31,QC-2023-018871,Rough idling,"P0354, P1682, P0306, P0351, P0560",17.26,Track burnt due to EOS,Customer Failure,Valeo,68608
Toyota,2019,2019-05-26,QC-2019-018872,Engine stalling,,13.34,NTF,According to Specification,Bosch,22311
Honda,2021,2021-09-29,QC-2021-018873,Starting Problem,P0096,12.94,Sensor short due to moisture,Customer Failure,Valeo,62848
TATA,2023,2023-05-04,QC-2023-018874,Engine overheating,"P0692, P0481, P0691",19.67,Track burnt due to EOS,Customer Failure,STM,71993
TATA,2020,2020-06-30,QC-2020-018875,ABS warning light ON,"C0051, C0031",13.83,Connector damage,Production Failure,Valeo,86493
Kia,2024,2024-06-29,QC-2024-018876,Multiple warning lights ON,"P0602, P0606",14.45,ASIC CJ327 failure due to EOS,Production Failure,STM,34659
Ashok Leyland,2024,2024-12-22,QC-2024-018877,Battery warning light ON,"P0563, P0562",15.27,ASIC CJ327 failure due to EOS,Production Failure,STM,39390
Hyundai,2021,2021-11-03,QC-2021-018878,Vehicle not starting,"P0615, P0616, P0482",17.07,Track burnt due to EOS,Customer Failure,Bosch,155498
M&M,2021,2021-04-03,QC-2021-018879,Engine overheating,,13.41,NTF,According to Specification,STM,150363
Hyundai,2023,2023-07-01,QC-2023-018880,Starting Problem,P0112,12.84,Sensor short due to moisture,Customer Failure,Valeo,51791
TATA,2022,2022-10-23,QC-2022-018881,Multiple warning lights ON,"U0131, U0028",10.4,controller failure due to supplier production failure,Production Failure,Bosch,23183
Hyundai,2025,2025-12-05,QC-2025-018882,OBD Light ON,"B1234, C0051",13.6,Connector damage,Production Failure,Valeo,75415
Hyundai,2025,2025-08-08,QC-2025-018883,Engine overheating,"P0481, P0305, P0351, P1682, P0304, P0352",19.33,Track burnt due to EOS,Customer Failure,Valeo,97306
Honda,2025,2025-01-02,QC-2025-018884,Multiple warning lights ON,B1045,12.63,Connector damage,Production Failure,Bosch,47933
TATA,2024,2024-11-12,QC-2024-018885,Starting Problem,U0122,11.15,controller failure due to supplier production failure,Production Failure,Delphi,12626
TATA,2025,2025-05-24,QC-2025-018886,Multiple warning lights ON,"P0607, P0605",14.96,ASIC CJ327 failure due to EOS,Production Failure,STM,69687
Ashok Leyland,2025,2025-12-30,QC-2025-018887,Multiple warning lights ON,U0037,10.79,controller failure due to supplier production failure,Production Failure,Valeo,43269
TATA,2024,2024-09-09,QC-2024-018888,Multiple warning lights ON,"P0607, P0563, P0605",14.99,ASIC CJ327 failure due to EOS,Customer Failure,Bosch,83044
Toyota,2025,2025-03-01,QC-2025-018889,Multiple warning lights ON,U0128,11.24,controller failure due to supplier production failure,Production Failure,Bosch,9606
TATA,2025,2025-01-23,QC-2025-018890,Engine jerking during acceleration,"P0356, P0562, P0563",20.68,Track burnt due to EOS,Customer Failure,Delphi,27830
Toyota,2020,2020-09-05,QC-2020-018891,Engine jerking during acceleration,P0611,16.04,ASIC CJ327 failure due to EOS,Production Failure,Bosch,17212
M&M,2024,2024-12-11,QC-2024-018892,Rough idling,,13.22,NTF,According to Specification,STM,10613
Ashok Leyland,2022,2022-07-01,QC-2022-018893,Engine stalling,"P0073, P0131",13.67,Sensor short due to moisture,Customer Failure,Hanon,24398
M&M,2025,2025-12-08,QC-2025-018894,Engine overheating,"P0692, P0353, P0691",18.95,Track burnt due to EOS,Customer Failure,Bosch,86962
Toyota,2025,2025-06-26,QC-2025-018895,Multiple warning lights ON,"U0401, U0114",12.02,controller failure due to supplier production failure,Customer Failure,STM,27282
M&M,2022,2022-12-24,QC-2022-018896,High fuel consumption,"P0131, P0500",12.92,Sensor short due to moisture,Customer Failure,Delphi,11994
Toyota,2023,2023-02-08,QC-2023-018897,Engine stalling,"P0073, P0113",12.8,Sensor short due to moisture,Customer Failure,Delphi,200000
M&M,2025,2025-08-19,QC-2025-018898,OBD Light ON,,12.82,NTF,According to Specification,Hanon,56829
TATA,2022,2022-07-15,QC-2022-018899,Brake warning light ON,C0460,14.11,Connector damage,Production Failure,STM,114688
Ashok Leyland,2024,2024-09-03,QC-2024-018900,Brake warning light ON,C0550,13.52,Connector damage,Production Failure,Valeo,115977
M&M,2024,2024-02-28,QC-2024-018901,Vehicle not starting,"P0355, U0101",19.52,Track burnt due to EOS,Customer Failure,Bosch,52473
Hyundai,2025,2025-09-14,QC-2025-018902,Brake warning light ON,"C0550, B1031, C0031",13.89,Connector damage,Customer Failure,Bosch,2763
Ashok Leyland,2025,2025-10-04,QC-2025-018903,Vehicle not starting,"P0300, U0101, U0100",18.27,Track burnt due to EOS,Customer Failure,Valeo,86392
Hyundai,2021,2021-08-29,QC-2021-018904,Low pickup,,13.29,NTF,According to Specification,Delphi,25611
Hyundai,2021,2021-07-04,QC-2021-018905,Engine stalling,,13.27,NTF,According to Specification,Bosch,20922
Honda,2019,2019-06-12,QC-2019-018906,Starting Problem,,13.3,NTF,According to Specification,Bosch,37683
TATA,2022,2022-10-03,QC-2022-018907,Engine jerking during acceleration,"P0351, P0302, P0306, P0352",17.23,Track burnt due to EOS,Customer Failure,Bosch,73751
TATA,2025,2025-05-25,QC-2025-018908,OBD Light ON,,12.64,NTF,According to Specification,Delphi,31220
M&M,2024,2024-11-22,QC-2024-018909,Starting Problem,P0118,12.14,Sensor short due to moisture,Customer Failure,Bosch,18449
Hyundai,2025,2025-05-30,QC-2025-018910,High fuel consumption,P0096,13.36,Sensor short due to moisture,Customer Failure,Valeo,55978
Toyota,2024,2024-12-10,QC-2024-018911,Low pickup,,12.96,NTF,According to Specification,Delphi,159966
M&M,2021,2021-05-20,QC-2021-018912,High fuel consumption,P0601,15.02,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,161034
TATA,2024,2024-06-08,QC-2024-018913,Vehicle not starting,"P0617, P0480, P0616",18.17,Track burnt due to EOS,Customer Failure,Delphi,55612
Kia,2024,2024-01-01,QC-2024-018914,Engine stalling,,12.32,NTF,According to Specification,Bosch,127552
Toyota,2023,2023-07-03,QC-2023-018915,Battery warning light ON,"P0562, P0356, P0304",19.42,Track burnt due to EOS,Customer Failure,Delphi,69362
M&M,2023,2023-04-20,QC-2023-018916,Rough idling,P0601,15.9,ASIC CJ327 failure due to EOS,Production Failure,STM,89293
Hyundai,2025,2025-05-13,QC-2025-018917,OBD Light ON,"P0131, P0141",13.39,Sensor short due to moisture,Customer Failure,Valeo,187200
Kia,2025,2025-04-28,QC-2025-018918,Rough idling,,13.31,NTF,According to Specification,Hanon,47798
Honda,2021,2021-10-02,QC-2021-018919,Multiple warning lights ON,"C0460, C0031",13.62,Connector damage,Production Failure,Delphi,2400
Hyundai,2020,2020-11-04,QC-2020-018920,Brake warning light ON,"C0031, C0045",12.92,Connector damage,Production Failure,Valeo,51270
Honda,2023,2023-07-14,QC-2023-018921,Rough idling,"P0072, P0161",12.6,Sensor short due to moisture,Customer Failure,STM,153446
Hyundai,2023,2023-01-17,QC-2023-018922,Vehicle not starting,"P1682, P0693, P0500",18.59,Track burnt due to EOS,Customer Failure,Delphi,31281
Hyundai,2024,2024-06-30,QC-2024-018923,Starting Problem,P0113,12.19,Sensor short due to moisture,Customer Failure,Valeo,46114
Hyundai,2023,2023-09-15,QC-2023-018924,Low pickup,P0325,12.71,NTF,According to Specification,Bosch,8558
Hyundai,2025,2025-02-28,QC-2025-018925,ABS warning light ON,"C0051, C0036",13.0,Connector damage,Production Failure,Bosch,84618
Hyundai,2024,2024-05-22,QC-2024-018926,Rough idling,P0610,15.56,ASIC CJ327 failure due to EOS,Production Failure,Delphi,91034
TATA,2020,2020-04-27,QC-2020-018927,Battery warning light ON,P0562,14.96,ASIC CJ327 failure due to EOS,Production Failure,Hanon,30144
Toyota,2025,2025-09-14,QC-2025-018928,Vehicle not starting,"P0562, P1682",18.11,Track burnt due to EOS,Customer Failure,Bosch,58178
Honda,2022,2022-02-03,QC-2022-018929,Starting Problem,P0112,11.96,Sensor short due to moisture,Customer Failure,Bosch,197153
Honda,2019,2019-12-17,QC-2019-018930,Engine stalling,P0456,12.95,NTF,According to Specification,Bosch,30833
Honda,2025,2025-12-19,QC-2025-018931,High fuel consumption,P0104,12.23,NTF,According to Specification,Bosch,37386
Honda,2021,2021-05-22,QC-2021-018932,OBD Light ON,,13.19,NTF,According to Specification,Bosch,19198
TATA,2025,2025-11-21,QC-2025-018933,Engine overheating,"P0694, P0300",18.77,Track burnt due to EOS,Customer Failure,Bosch,85050
Toyota,2023,2023-08-25,QC-2023-018934,Multiple warning lights ON,"B3055, C0045",13.95,Connector damage,Production Failure,Valeo,49021
Ashok Leyland,2025,2025-07-22,QC-2025-018935,OBD Light ON,,13.69,NTF,According to Specification,Delphi,14360
Hyundai,2025,2025-11-10,QC-2025-018936,Multiple warning lights ON,"B1031, B3055",13.05,Connector damage,Production Failure,STM,46142
Honda,2020,2020-07-11,QC-2020-018937,ABS warning light ON,C0036,13.31,Connector damage,Production Failure,Bosch,60601
Kia,2024,2024-08-13,QC-2024-018938,Rough idling,"P0304, P0300, P0563, P1682, P0562",17.01,Track burnt due to EOS,Customer Failure,Bosch,53747
Kia,2023,2023-04-29,QC-2023-018939,Engine overheating,"P0304, P0616",19.09,Track burnt due to EOS,Customer Failure,Hanon,52380
Toyota,2021,2021-03-06,QC-2021-018940,Starting Problem,P0300,13.26,NTF,According to Specification,Delphi,42863
Kia,2020,2020-09-14,QC-2020-018941,Engine overheating,,12.63,NTF,According to Specification,Valeo,79762
M&M,2025,2025-07-24,QC-2025-018942,Brake warning light ON,"C0045, C0265",13.78,Connector damage,Production Failure,Valeo,105692
Ashok Leyland,2025,2025-04-18,QC-2025-018943,Engine stalling,P0038,12.41,Sensor short due to moisture,Customer Failure,Hanon,119017
Honda,2021,2021-06-22,QC-2021-018944,Battery warning light ON,"P0563, P0691, P0562",16.52,Track burnt due to EOS,Customer Failure,Bosch,144961
Ashok Leyland,2023,2023-10-19,QC-2023-018945,OBD Light ON,"P0097, P0113, P0171",13.41,Sensor short due to moisture,Customer Failure,Valeo,55716
Honda,2023,2023-03-13,QC-2023-018946,Multiple warning lights ON,P0602,16.04,ASIC CJ327 failure due to EOS,Customer Failure,Valeo,23237
Hyundai,2021,2021-12-07,QC-2021-018947,Rough idling,P0097,12.77,Sensor short due to moisture,Customer Failure,Bosch,29537
Toyota,2024,2024-02-25,QC-2024-018948,Engine overheating,U0155,13.52,NTF,According to Specification,Valeo,37121
M&M,2024,2024-06-01,QC-2024-018949,Engine stalling,P0073,13.28,Sensor short due to moisture,Production Failure,Delphi,74990
Toyota,2024,2024-10-02,QC-2024-018950,OBD Light ON,"B1234, P0300",12.08,Connector damage,Production Failure,Bosch,112575
TATA,2022,2022-10-13,QC-2022-018951,Rough idling,P0069,12.08,Sensor short due to moisture,Customer Failure,Delphi,151324
TATA,2021,2021-02-14,QC-2021-018952,ABS warning light ON,C0031,13.61,Connector damage,Production Failure,Valeo,95638
Kia,2022,2022-05-15,QC-2022-018953,Multiple warning lights ON,U0164,9.37,controller failure due to supplier production failure,Production Failure,STM,26216
Toyota,2022,2022-04-19,QC-2022-018954,OBD Light ON,,13.29,NTF,According to Specification,Hanon,68180
Toyota,2022,2022-05-17,QC-2022-018955,Rough idling,"P0300, P0617",18.36,Track burnt due to EOS,Customer Failure,Bosch,77457
Kia,2024,2024-08-12,QC-2024-018956,Brake warning light ON,C0265,13.58,Connector damage,Production Failure,Valeo,135846
Toyota,2025,2025-10-31,QC-2025-018957,Engine overheating,P0111,12.88,Sensor short due to moisture,Customer Failure,Bosch,45634
Ashok Leyland,2025,2025-11-22,QC-2025-018958,Multiple warning lights ON,"U0001, U0073",9.51,controller failure due to supplier production failure,Production Failure,Valeo,7585
Toyota,2025,2025-03-20,QC-2025-018959,ABS warning light ON,B2960,14.27,Connector damage,Production Failure,Valeo,72030
M&M,2020,2020-10-30,QC-2020-018960,Brake warning light ON,C0550,14.37,Connector damage,Customer Failure,STM,159818
Hyundai,2024,2024-07-22,QC-2024-018961,Rough idling,,14.29,NTF,According to Specification,Bosch,38783
Toyota,2025,2025-06-07,QC-2025-018962,Engine stalling,,11.87,NTF,According to Specification,Hanon,17535
Toyota,2025,2025-06-24,QC-2025-018963,High fuel consumption,P0420,13.42,NTF,According to Specification,Bosch,32863
Hyundai,2024,2024-05-24,QC-2024-018964,Battery warning light ON,"P0562, P0304, P0481, P0480, P0692, P0563",16.14,Track burnt due to EOS,Customer Failure,Bosch,19399
Hyundai,2024,2024-04-04,QC-2024-018965,Engine overheating,"P0353, P0355",17.06,Track burnt due to EOS,Customer Failure,Bosch,144037
Toyota,2023,2023-06-06,QC-2023-018966,Multiple warning lights ON,U0128,10.06,controller failure due to supplier production failure,Production Failure,STM,10695
Ashok Leyland,2025,2025-10-02,QC-2025-018967,Engine overheating,"U0100, P0694",16.67,Track burnt due to EOS,Customer Failure,Valeo,38484
TATA,2025,2025-03-18,QC-2025-018968,Battery warning light ON,"P0606, P0602",14.35,ASIC CJ327 failure due to EOS,Customer Failure,Valeo,56531
Honda,2024,2024-11-18,QC-2024-018969,Rough idling,"P0306, P0303",20.86,Track burnt due to EOS,Customer Failure,Bosch,126661
