Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier
Ashok Leyland,2023,2023-08-31,QC-2023-4025,Engine jerking during acceleration,,NTF,Production Failure,Delphi
Toyota,2020,2020-05-16,QC-2020-8042,Engine overheating,,Sensor short due to moisture,Production Failure,STM
M&M,2019,2019-08-12,QC-2019-7203,Brake warning light ON,"P6344, P1245",ASIC CJ327 failure due to EOS,According to Specification,Delphi
M&M,2021,2021-08-04,QC-2021-3914,Vehicle not starting,"P0455, P6344, P0987",ASIC CJ327 failure due to EOS,Customer Failure,Delphi
Toyota,2021,2021-12-15,QC-2021-1312,Low pickup,,controller failure due to supplier production failure,According to Specification,Hanon
TATA,2024,2024-11-12,QC-2024-8634,Starting Problem,NA,ASIC CJ327 failure due to EOS,According to Specification,STM
M&M,2022,2022-04-17,QC-2022-5791,Engine jerking during acceleration,"P0455, P5657",controller failure due to supplier production failure,According to Specification,Hanon
Toyota,2020,2020-08-06,QC-2020-9976,Starting Problem,"C0045, P5657",ASIC CJ327 failure due to EOS,Production Failure,Valeo
M&M,2020,2020-02-24,QC-2020-8563,High fuel consumption,"P1245, B1234, C0045",ASIC CJ327 failure due to EOS,Production Failure,Hanon
Ashok Leyland,2024,2024-12-04,QC-2024-8095,Vehicle not starting,"U0100, P1245",Sensor short due to moisture,Production Failure,Bosch
Honda,2022,2022-06-18,QC-2022-8528,Rough idling,"P1245, P0455, P6768",Connector damage,Production Failure,Bosch
Hyundai,2019,2019-03-03,QC-2019-6087,Engine jerking during acceleration,U0100,Track burnt due to EOS,Production Failure,Valeo
TATA,2022,2022-08-23,QC-2022-5185,Engine overheating,P0987,ASIC CJ327 failure due to EOS,Customer Failure,NA
Honda,2020,2020-08-01,QC-2020-2679,Rough idling,P6344,ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Kia,2019,2019-12-13,QC-2019-8038,Engine jerking during acceleration,,controller failure due to supplier production failure,Customer Failure,NA
Hyundai,2022,2022-09-16,QC-2022-3017,Engine jerking during acceleration,B1234,Connector damage,Production Failure,Bosch
Ashok Leyland,2021,2021-11-11,QC-2021-2587,Low pickup,"C0045, P0987",NTF,Production Failure,STM
Hyundai,2023,2023-06-12,QC-2023-2464,OBD Light ON,"P0301, B1234, P0455",Connector damage,Production Failure,STM
M&M,2022,2022-11-14,QC-2022-7853,Rough idling,"B1234, P0987",NTF,Customer Failure,STM
Hyundai,2023,2023-03-14,QC-2023-2782,Vehicle not starting,"P0301, P6768, P0987",NTF,Production Failure,Hanon
Ashok Leyland,2023,2023-12-04,QC-2023-4714,Rough idling,P0455,ASIC CJ327 failure due to EOS,Production Failure,STM
Honda,2023,2023-03-26,QC-2023-8649,OBD Light ON,P6768,Connector damage,Production Failure,Hanon
Honda,2020,2020-02-06,QC-2020-8698,Vehicle not starting,"P0301, C0045",NTF,Production Failure,NA
TATA,2019,2019-11-11,QC-2019-9133,Brake warning light ON,"U0100, P0301",Connector damage,Customer Failure,Bosch
Hyundai,2024,2024-06-24,QC-2024-7711,Vehicle not starting,,NTF,According to Specification,Valeo
Kia,2024,2024-09-09,QC-2024-2808,Vehicle not starting,"P0455, U0100",controller failure due to supplier production failure,According to Specification,Bosch
Ashok Leyland,2021,2021-09-28,QC-2021-3497,Starting Problem,NA,Track burnt due to EOS,Production Failure,Valeo
Hyundai,2023,2023-08-28,QC-2023-5402,OBD Light ON,C0045,ASIC CJ327 failure due to EOS,Production Failure,NA
Kia,2023,2023-03-13,QC-2023-7888,Vehicle not starting,"B1234, P0301, P6768",Sensor short due to moisture,According to Specification,Valeo
Honda,2023,2023-07-25,QC-2023-3006,Engine jerking during acceleration,,NTF,Production Failure,Delphi
Ashok Leyland,2021,2021-10-09,QC-2021-2444,Starting Problem,,Connector damage,According to Specification,Valeo
TATA,2022,2022-05-24,QC-2022-7075,Brake warning light ON,,ASIC CJ327 failure due to EOS,Production Failure,STM
Ashok Leyland,2020,2020-12-05,QC-2020-9541,Starting Problem,NA,Connector damage,Customer Failure,Hanon
Ashok Leyland,2020,2020-03-16,QC-2020-9357,Low pickup,U0100,NTF,Production Failure,STM
Hyundai,2023,2023-10-24,QC-2023-3821,Vehicle not starting,NA,controller failure due to supplier production failure,According to Specification,NA
Toyota,2020,2020-10-23,QC-2020-4848,Rough idling,,Track burnt due to EOS,Production Failure,NA
Honda,2023,2023-03-19,QC-2023-4482,Starting Problem,NA,Connector damage,Customer Failure,STM
M&M,2023,2023-08-08,QC-2023-9812,Low pickup,,Connector damage,According to Specification,Valeo
M&M,2022,2022-04-09,QC-2022-9422,Vehicle not starting,"P0455, P0987",Track burnt due to EOS,According to Specification,Valeo
Hyundai,2021,2021-04-27,QC-2021-3762,Engine overheating,C0045,Sensor short due to moisture,Production Failure,Delphi
Hyundai,2020,2020-05-08,QC-2020-7217,Rough idling,,Sensor short due to moisture,Production Failure,NA
Toyota,2022,2022-07-25,QC-2022-5704,OBD Light ON,P5657,Sensor short due to moisture,According to Specification,Valeo
Toyota,2019,2019-03-19,QC-2019-8216,Vehicle not starting,"P0987, P6768",NTF,Production Failure,STM
Ashok Leyland,2019,2019-06-21,QC-2019-7634,Engine overheating,"B1234, P6344",Track burnt due to EOS,Production Failure,Hanon
M&M,2022,2022-05-23,QC-2022-5174,High fuel consumption,NA,ASIC CJ327 failure due to EOS,Customer Failure,NA
Toyota,2023,2023-06-01,QC-2023-6353,Vehicle not starting,"C0045, P6768, P1245",Sensor short due to moisture,According to Specification,Bosch
TATA,2024,2024-04-24,QC-2024-3626,Rough idling,,controller failure due to supplier production failure,Customer Failure,Delphi
TATA,2020,2020-08-10,QC-2020-3135,Engine jerking during acceleration,P0455,Track burnt due to EOS,Customer Failure,Valeo
TATA,2022,2022-10-12,QC-2022-8353,High fuel consumption,"U0100, P0987, P6344",controller failure due to supplier production failure,Production Failure,Hanon
M&M,2021,2021-11-21,QC-2021-6020,Vehicle not starting,NA,Connector damage,Production Failure,Delphi
TATA,2021,2021-01-14,QC-2021-1270,Engine overheating,U0100,controller failure due to supplier production failure,According to Specification,Delphi
TATA,2022,2022-07-23,QC-2022-4805,Starting Problem,NA,NTF,According to Specification,Valeo
Kia,2019,2019-09-10,QC-2019-5284,Starting Problem,NA,Track burnt due to EOS,According to Specification,Valeo
Hyundai,2021,2021-03-02,QC-2021-6332,Brake warning light ON,,controller failure due to supplier production failure,Customer Failure,NA
TATA,2020,2020-05-23,QC-2020-6842,Vehicle not starting,NA,Connector damage,Customer Failure,Bosch
Ashok Leyland,2024,2024-02-20,QC-2024-7268,Rough idling,P0301,Connector damage,According to Specification,Hanon
Honda,2024,2024-04-12,QC-2024-4449,Vehicle not starting,"P1245, P6344",Sensor short due to moisture,Customer Failure,Delphi
Toyota,2020,2020-09-09,QC-2020-6309,Engine overheating,U0100,Connector damage,Customer Failure,STM
Hyundai,2024,2024-02-06,QC-2024-3863,Low pickup,"U0100, C0045, P1245",ASIC CJ327 failure due to EOS,According to Specification,Bosch
Kia,2019,2019-12-30,QC-2019-1111,Vehicle not starting,B1234,NTF,Customer Failure,Hanon
Ashok Leyland,2019,2019-01-05,QC-2019-6341,Rough idling,P5657,Connector damage,Production Failure,Hanon
Toyota,2023,2023-01-10,QC-2023-5521,Starting Problem,"P0455, P6768, P1245",NTF,Customer Failure,STM
Hyundai,2021,2021-12-13,QC-2021-9017,Rough idling,P5657,Track burnt due to EOS,Customer Failure,Valeo
Kia,2023,2023-04-29,QC-2023-8962,Low pickup,"P1245, U0100",Sensor short due to moisture,According to Specification,Delphi
TATA,2019,2019-01-18,QC-2019-6442,Rough idling,"P0301, B1234",controller failure due to supplier production failure,Customer Failure,Delphi
M&M,2024,2024-01-02,QC-2024-5653,Engine overheating,"P0455, U0100, P6344",controller failure due to supplier production failure,According to Specification,NA
Ashok Leyland,2024,2024-07-13,QC-2024-3459,OBD Light ON,"P0301, P0987, P1245",controller failure due to supplier production failure,According to Specification,Valeo
Honda,2019,2019-03-17,QC-2019-5518,Engine jerking during acceleration,NA,ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Toyota,2020,2020-03-18,QC-2020-2255,Brake warning light ON,NA,Track burnt due to EOS,Production Failure,NA
Hyundai,2021,2021-03-12,QC-2021-7663,Low pickup,"C0045, P0987, P1245",ASIC CJ327 failure due to EOS,Production Failure,Bosch
Toyota,2020,2020-02-28,QC-2020-6756,Vehicle not starting,"P6768, C0045",Track burnt due to EOS,According to Specification,Hanon
Hyundai,2019,2019-11-06,QC-2019-8314,Starting Problem,NA,Connector damage,According to Specification,NA
TATA,2020,2020-02-27,QC-2020-3368,Low pickup,NA,Connector damage,Customer Failure,STM
Toyota,2023,2023-08-29,QC-2023-5172,Engine overheating,,NTF,According to Specification,STM
Toyota,2024,2024-02-24,QC-2024-8024,OBD Light ON,"P0301, P0455",Track burnt due to EOS,Customer Failure,Bosch
Hyundai,2019,2019-04-16,QC-2019-1388,Brake warning light ON,"C0045, U0100",Track burnt due to EOS,Customer Failure,Bosch
Ashok Leyland,2019,2019-01-21,QC-2019-4817,Engine jerking during acceleration,"P0301, P6344, U0100",controller failure due to supplier production failure,According to Specification,STM
Honda,2021,2021-04-15,QC-2021-7094,Vehicle not starting,"P5657, P6768",Connector damage,Customer Failure,Valeo
Ashok Leyland,2021,2021-07-28,QC-2021-1671,Low pickup,,Connector damage,According to Specification,STM
TATA,2023,2023-01-06,QC-2023-8186,Rough idling,P6768,Sensor short due to moisture,Production Failure,NA
TATA,2021,2021-05-11,QC-2021-7053,Vehicle not starting,NA,Sensor short due to moisture,Customer Failure,Hanon
Kia,2023,2023-08-18,QC-2023-9876,Low pickup,,ASIC CJ327 failure due to EOS,Production Failure,Hanon
Honda,2019,2019-04-06,QC-2019-8715,Engine overheating,"P1245, P0301",Track burnt due to EOS,According to Specification,NA
M&M,2020,2020-11-01,QC-2020-5634,Engine overheating,"B1234, P6768",Connector damage,According to Specification,Delphi
Kia,2020,2020-03-27,QC-2020-4961,Low pickup,"P0301, P6768",ASIC CJ327 failure due to EOS,According to Specification,Valeo
Honda,2023,2023-06-04,QC-2023-6026,Engine overheating,P6768,Connector damage,Production Failure,STM
TATA,2022,2022-12-22,QC-2022-1347,Rough idling,"B1234, C0045",controller failure due to supplier production failure,According to Specification,Delphi
Kia,2022,2022-03-08,QC-2022-5925,Engine overheating,P1245,Connector damage,Production Failure,Hanon
TATA,2022,2022-02-25,QC-2022-7442,Brake warning light ON,"P0301, P6344",Sensor short due to moisture,Production Failure,NA
M&M,2024,2024-07-29,QC-2024-5010,Brake warning light ON,NA,NTF,Production Failure,Delphi
TATA,2022,2022-02-06,QC-2022-5309,OBD Light ON,"P5657, P0455",controller failure due to supplier production failure,Production Failure,Delphi
Ashok Leyland,2024,2024-05-08,QC-2024-9540,Brake warning light ON,"P6344, C0045",Track burnt due to EOS,According to Specification,Valeo
Hyundai,2020,2020-09-25,QC-2020-2120,Low pickup,NA,ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Toyota,2021,2021-02-13,QC-2021-2240,Brake warning light ON,"C0045, P0301",ASIC CJ327 failure due to EOS,Production Failure,Delphi
Hyundai,2020,2020-02-05,QC-2020-1894,Rough idling,"C0045, P1245",Sensor short due to moisture,Customer Failure,Bosch
Kia,2024,2024-11-01,QC-2024-4616,Engine overheating,,Sensor short due to moisture,Production Failure,STM
Hyundai,2024,2024-12-08,QC-2024-3903,Rough idling,NA,Connector damage,Production Failure,Hanon
TATA,2020,2020-08-26,QC-2020-8630,Rough idling,NA,Track burnt due to EOS,According to Specification,Hanon
Kia,2020,2020-04-05,QC-2020-5778,High fuel consumption,,Sensor short due to moisture,Production Failure,Hanon
Honda,2024,2024-09-24,QC-2024-3553,High fuel consumption,"P0301, B1234, P1245",Connector damage,According to Specification,Delphi
Kia,2021,2021-10-06,QC-2021-2338,Brake warning light ON,"P6768, P0987, U0100",controller failure due to supplier production failure,Production Failure,Bosch
Toyota,2023,2023-03-05,QC-2023-1211,Brake warning light ON,"P6344, U0100",Sensor short due to moisture,Customer Failure,Delphi
TATA,2020,2020-04-10,QC-2020-6968,Vehicle not starting,C0045,ASIC CJ327 failure due to EOS,Production Failure,Valeo
TATA,2022,2022-01-01,QC-2022-2638,Brake warning light ON,NA,Sensor short due to moisture,Customer Failure,NA
Honda,2024,2024-06-17,QC-2024-3054,Engine overheating,NA,Track burnt due to EOS,According to Specification,Valeo
Toyota,2020,2020-06-09,QC-2020-8741,OBD Light ON,NA,Track burnt due to EOS,Customer Failure,Valeo
Hyundai,2024,2024-05-03,QC-2024-7794,Brake warning light ON,NA,Track burnt due to EOS,Production Failure,Valeo
Hyundai,2024,2024-08-07,QC-2024-5018,Engine jerking during acceleration,NA,NTF,According to Specification,Hanon
Toyota,2019,2019-04-14,QC-2019-9866,Vehicle not starting,P0987,ASIC CJ327 failure due to EOS,Production Failure,Delphi
Toyota,2023,2023-04-02,QC-2023-8891,Engine overheating,NA,ASIC CJ327 failure due to EOS,Customer Failure,Valeo
Toyota,2022,2022-01-28,QC-2022-7785,High fuel consumption,NA,controller failure due to supplier production failure,Customer Failure,STM
Kia,2020,2020-06-26,QC-2020-8527,High fuel consumption,,Sensor short due to moisture,According to Specification,NA
Honda,2019,2019-04-14,QC-2019-7306,OBD Light ON,"U0100, P6344",controller failure due to supplier production failure,Production Failure,Bosch
Kia,2021,2021-12-04,QC-2021-5551,OBD Light ON,,controller failure due to supplier production failure,Production Failure,Delphi
Hyundai,2023,2023-04-06,QC-2023-5908,OBD Light ON,P6344,ASIC CJ327 failure due to EOS,According to Specification,Hanon
Honda,2023,2023-08-28,QC-2023-5222,Low pickup,P0987,Connector damage,According to Specification,Bosch
M&M,2020,2020-03-11,QC-2020-7278,Low pickup,"P6768, U0100",Sensor short due to moisture,Production Failure,STM
Ashok Leyland,2022,2022-09-30,QC-2022-7938,Vehicle not starting,"P6344, C0045, P1245",NTF,According to Specification,Hanon
Hyundai,2023,2023-07-19,QC-2023-6666,Engine overheating,"B1234, P1245, P0987",Sensor short due to moisture,According to Specification,Delphi
Toyota,2019,2019-06-04,QC-2019-1584,Vehicle not starting,NA,controller failure due to supplier production failure,According to Specification,Valeo
Toyota,2024,2024-03-21,QC-2024-6340,OBD Light ON,"P0987, P5657, C0045",ASIC CJ327 failure due to EOS,Customer Failure,STM
Ashok Leyland,2023,2023-07-20,QC-2023-2823,Engine jerking during acceleration,"P6344, P1245",Track burnt due to EOS,Production Failure,NA
Ashok Leyland,2021,2021-07-26,QC-2021-5733,Vehicle not starting,"P0301, P0987, P6768",Connector damage,Customer Failure,Valeo
Honda,2023,2023-08-17,QC-2023-6015,Starting Problem,NA,Sensor short due to moisture,Customer Failure,STM
Hyundai,2019,2019-09-15,QC-2019-1696,Vehicle not starting,,ASIC CJ327 failure due to EOS,Production Failure,Bosch
M&M,2024,2024-04-18,QC-2024-1869,Brake warning light ON,P1245,controller failure due to supplier production failure,Customer Failure,NA
Kia,2024,2024-10-31,QC-2024-5691,Vehicle not starting,"P1245, P0455, U0100",ASIC CJ327 failure due to EOS,Production Failure,Delphi
Kia,2019,2019-11-29,QC-2019-6115,Starting Problem,"P0301, B1234",controller failure due to supplier production failure,Production Failure,Valeo
Hyundai,2020,2020-02-17,QC-2020-2375,Engine overheating,B1234,ASIC CJ327 failure due to EOS,According to Specification,Valeo
Toyota,2022,2022-03-18,QC-2022-1265,Rough idling,P6344,controller failure due to supplier production failure,According to Specification,Hanon
Ashok Leyland,2021,2021-11-14,QC-2021-7174,Brake warning light ON,,NTF,Production Failure,NA
Toyota,2019,2019-01-31,QC-2019-7919,Starting Problem,"P6768, P0301",Sensor short due to moisture,According to Specification,Bosch
Hyundai,2022,2022-11-09,QC-2022-3365,Vehicle not starting,"P6344, P0301",Connector damage,Production Failure,Delphi
TATA,2023,2023-08-17,QC-2023-4402,Low pickup,"U0100, P6344, P0455",Track burnt due to EOS,According to Specification,Valeo
TATA,2022,2022-05-02,QC-2022-4131,Brake warning light ON,,controller failure due to supplier production failure,Production Failure,Hanon
Hyundai,2020,2020-02-27,QC-2020-7438,Engine overheating,"P6768, P1245, U0100",ASIC CJ327 failure due to EOS,Production Failure,Hanon
Toyota,2024,2024-10-28,QC-2024-9485,OBD Light ON,,Sensor short due to moisture,According to Specification,Delphi
Toyota,2020,2020-05-19,QC-2020-6473,Brake warning light ON,NA,ASIC CJ327 failure due to EOS,Production Failure,STM
M&M,2020,2020-08-09,QC-2020-3630,Engine jerking during acceleration,"B1234, P0455, P1245",controller failure due to supplier production failure,According to Specification,Delphi
TATA,2019,2019-09-20,QC-2019-6117,Engine jerking during acceleration,NA,NTF,Customer Failure,Valeo
Ashok Leyland,2022,2022-11-03,QC-2022-6627,Vehicle not starting,"P1245, P5657",Sensor short due to moisture,Customer Failure,Delphi
M&M,2019,2019-08-28,QC-2019-5667,Rough idling,"P0455, P0301, P5657",NTF,Production Failure,NA
Honda,2019,2019-06-26,QC-2019-2939,Starting Problem,NA,NTF,According to Specification,Valeo
M&M,2022,2022-06-23,QC-2022-1148,Brake warning light ON,NA,ASIC CJ327 failure due to EOS,According to Specification,Bosch
Honda,2024,2024-02-03,QC-2024-7988,Rough idling,NA,ASIC CJ327 failure due to EOS,According to Specification,STM
Ashok Leyland,2021,2021-11-26,QC-2021-4962,High fuel consumption,P6344,controller failure due to supplier production failure,According to Specification,STM
Toyota,2022,2022-01-23,QC-2022-2179,Engine jerking during acceleration,"P0987, B1234, U0100",Connector damage,Production Failure,STM
Toyota,2022,2022-10-04,QC-2022-5956,Engine jerking during acceleration,"B1234, P0455, P6344",Connector damage,Production Failure,STM
Honda,2023,2023-06-04,QC-2023-4401,OBD Light ON,"C0045, P0455",controller failure due to supplier production failure,According to Specification,Delphi
TATA,2019,2019-02-26,QC-2019-4964,High fuel consumption,,Connector damage,Production Failure,STM
Toyota,2021,2021-07-16,QC-2021-2131,Engine overheating,"P5657, U0100, P1245",Sensor short due to moisture,Production Failure,Hanon
Hyundai,2023,2023-08-30,QC-2023-4852,Engine overheating,,Track burnt due to EOS,According to Specification,Valeo
Ashok Leyland,2021,2021-04-17,QC-2021-9303,High fuel consumption,"P6768, P1245",NTF,Customer Failure,STM
Honda,2023,2023-11-24,QC-2023-8717,High fuel consumption,,Sensor short due to moisture,According to Specification,Valeo
TATA,2023,2023-04-26,QC-2023-1989,OBD Light ON,"P6768, P1245",Track burnt due to EOS,Customer Failure,Bosch
TATA,2024,2024-11-22,QC-2024-2270,Starting Problem,P0455,controller failure due to supplier production failure,Customer Failure,STM
Kia,2024,2024-10-30,QC-2024-9783,Low pickup,"P6344, P1245",NTF,According to Specification,NA
Kia,2022,2022-12-05,QC-2022-2997,Vehicle not starting,"P5657, C0045, P0301",Track burnt due to EOS,Production Failure,Bosch
Kia,2019,2019-11-22,QC-2019-9529,OBD Light ON,"P6768, P0301",ASIC CJ327 failure due to EOS,Production Failure,NA
Toyota,2021,2021-09-08,QC-2021-6500,Rough idling,"P5657, P6344, P0987",controller failure due to supplier production failure,Customer Failure,Valeo
Ashok Leyland,2022,2022-09-16,QC-2022-4731,Rough idling,"U0100, P0987",Sensor short due to moisture,According to Specification,Valeo
Ashok Leyland,2023,2023-06-01,QC-2023-1548,Engine overheating,,Track burnt due to EOS,According to Specification,Valeo
Ashok Leyland,2024,2024-09-04,QC-2024-1237,Vehicle not starting,P6344,controller failure due to supplier production failure,According to Specification,Valeo
Ashok Leyland,2021,2021-03-25,QC-2021-1981,Starting Problem,NA,Sensor short due to moisture,Production Failure,Delphi
Hyundai,2020,2020-07-16,QC-2020-3283,Rough idling,NA,Sensor short due to moisture,According to Specification,STM
Toyota,2022,2022-01-10,QC-2022-1609,Starting Problem,"U0100, P0455",ASIC CJ327 failure due to EOS,According to Specification,Valeo
Ashok Leyland,2022,2022-11-17,QC-2022-3627,High fuel consumption,NA,Connector damage,Production Failure,STM
Honda,2024,2024-08-30,QC-2024-6944,Rough idling,,Sensor short due to moisture,Customer Failure,NA
Kia,2021,2021-10-06,QC-2021-9636,High fuel consumption,"P5657, P0455, P0301",ASIC CJ327 failure due to EOS,Customer Failure,Valeo
Ashok Leyland,2024,2024-07-03,QC-2024-1334,Brake warning light ON,"P0301, P6768",Track burnt due to EOS,Production Failure,NA
Kia,2021,2021-02-07,QC-2021-7553,Rough idling,"P6768, P6344, B1234",Track burnt due to EOS,According to Specification,Valeo
Honda,2019,2019-12-29,QC-2019-7810,OBD Light ON,NA,Track burnt due to EOS,According to Specification,Valeo
Kia,2019,2019-05-01,QC-2019-4133,Engine overheating,U0100,Connector damage,Production Failure,NA
Ashok Leyland,2022,2022-09-23,QC-2022-7713,OBD Light ON,NA,NTF,Customer Failure,Bosch
M&M,2024,2024-04-24,QC-2024-2256,OBD Light ON,"B1234, P0987",ASIC CJ327 failure due to EOS,According to Specification,Delphi
Hyundai,2019,2019-11-21,QC-2019-6752,Starting Problem,"B1234, P6344, C0045",Sensor short due to moisture,Production Failure,Bosch
Hyundai,2021,2021-02-04,QC-2021-2328,Rough idling,NA,controller failure due to supplier production failure,According to Specification,Delphi
TATA,2019,2019-05-22,QC-2019-2372,Low pickup,"C0045, P1245, P0301",NTF,Customer Failure,Hanon
M&M,2022,2022-03-17,QC-2022-5155,Low pickup,P6768,ASIC CJ327 failure due to EOS,Customer Failure,NA
Toyota,2021,2021-06-07,QC-2021-1194,Low pickup,"P5657, B1234, P6768",Connector damage,Customer Failure,NA
Toyota,2020,2020-06-26,QC-2020-1880,Vehicle not starting,"B1234, P5657",controller failure due to supplier production failure,According to Specification,Hanon
TATA,2019,2019-10-23,QC-2019-2594,Engine overheating,"P1245, P0987",NTF,According to Specification,Hanon
Ashok Leyland,2024,2024-07-12,QC-2024-3596,Brake warning light ON,,Connector damage,Customer Failure,NA
Toyota,2024,2024-07-19,QC-2024-5985,Rough idling,"U0100, P6768, P0301",NTF,Production Failure,NA
Toyota,2022,2022-05-06,QC-2022-2976,Engine overheating,"B1234, P1245",NTF,According to Specification,NA
TATA,2023,2023-07-28,QC-2023-7986,Engine overheating,,Sensor short due to moisture,According to Specification,Bosch
Toyota,2024,2024-01-13,QC-2024-8811,Vehicle not starting,"P0987, P6768, U0100",NTF,Customer Failure,Bosch
Toyota,2024,2024-11-22,QC-2024-7125,Starting Problem,,Sensor short due to moisture,According to Specification,STM
Hyundai,2024,2024-02-25,QC-2024-1934,OBD Light ON,,NTF,Customer Failure,STM
Honda,2020,2020-03-31,QC-2020-9346,Starting Problem,NA,Sensor short due to moisture,Production Failure,Valeo
Honda,2024,2024-01-07,QC-2024-2352,Starting Problem,NA,ASIC CJ327 failure due to EOS,Production Failure,STM
Honda,2024,2024-10-20,QC-2024-6150,Starting Problem,"P5657, B1234, P0301",Sensor short due to moisture,According to Specification,NA
TATA,2019,2019-01-30,QC-2019-3001,Starting Problem,NA,Sensor short due to moisture,Production Failure,Hanon
Kia,2024,2024-04-28,QC-2024-8124,High fuel consumption,U0100,Track burnt due to EOS,According to Specification,STM
Hyundai,2021,2021-01-28,QC-2021-1618,Rough idling,P0301,Track burnt due to EOS,According to Specification,Delphi
Hyundai,2024,2024-08-08,QC-2024-5061,Engine jerking during acceleration,"B1234, P6768, P5657",Sensor short due to moisture,Production Failure,Hanon
Honda,2020,2020-04-10,QC-2020-7408,OBD Light ON,,Sensor short due to moisture,Production Failure,Delphi
Ashok Leyland,2024,2024-12-09,QC-2024-3079,OBD Light ON,,controller failure due to supplier production failure,Production Failure,Bosch
TATA,2019,2019-10-30,QC-2019-7806,OBD Light ON,"P1245, P6344",controller failure due to supplier production failure,Customer Failure,NA
M&M,2021,2021-08-06,QC-2021-4966,OBD Light ON,NA,NTF,Customer Failure,Bosch
M&M,2024,2024-11-05,QC-2024-6530,Engine jerking during acceleration,"C0045, P0455",Sensor short due to moisture,According to Specification,NA
Ashok Leyland,2020,2020-06-06,QC-2020-1160,High fuel consumption,NA,Connector damage,According to Specification,NA
Toyota,2024,2024-12-22,QC-2024-8470,Brake warning light ON,P6344,ASIC CJ327 failure due to EOS,Customer Failure,NA
TATA,2022,2022-07-19,QC-2022-2541,Brake warning light ON,NA,Sensor short due to moisture,Customer Failure,NA
M&M,2021,2021-02-05,QC-2021-2221,Starting Problem,P0987,Track burnt due to EOS,Production Failure,Hanon
TATA,2021,2021-08-01,QC-2021-3465,Starting Problem,NA,Sensor short due to moisture,According to Specification,NA
M&M,2019,2019-05-31,QC-2019-8403,OBD Light ON,"P6768, P0455",controller failure due to supplier production failure,Production Failure,STM
Honda,2023,2023-01-15,QC-2023-9923,Brake warning light ON,NA,NTF,Customer Failure,Bosch
Ashok Leyland,2024,2024-11-01,QC-2024-3013,OBD Light ON,U0100,Sensor short due to moisture,According to Specification,Delphi
Ashok Leyland,2023,2023-03-26,QC-2023-4073,Engine overheating,P1245,controller failure due to supplier production failure,According to Specification,Hanon
M&M,2022,2022-05-07,QC-2022-5968,OBD Light ON,,Track burnt due to EOS,Customer Failure,Bosch
Ashok Leyland,2020,2020-03-13,QC-2020-2400,Vehicle not starting,"C0045, P1245, P5657",Sensor short due to moisture,Production Failure,Valeo
Toyota,2024,2024-04-23,QC-2024-4462,Engine overheating,NA,Track burnt due to EOS,According to Specification,Bosch
Ashok Leyland,2019,2019-09-30,QC-2019-4510,Engine jerking during acceleration,P1245,Sensor short due to moisture,According to Specification,NA
M&M,2023,2023-10-24,QC-2023-6394,Engine overheating,"B1234, P0301",Track burnt due to EOS,Customer Failure,Delphi
Kia,2023,2023-08-30,QC-2023-2997,Vehicle not starting,NA,Connector damage,Customer Failure,NA
Kia,2020,2020-03-26,QC-2020-5619,Low pickup,,Sensor short due to moisture,Production Failure,STM
TATA,2024,2024-05-10,QC-2024-2090,Starting Problem,"P6344, C0045, P0301",controller failure due to supplier production failure,Customer Failure,Delphi
Kia,2021,2021-09-13,QC-2021-1402,Engine overheating,"P0455, C0045",ASIC CJ327 failure due to EOS,Production Failure,Bosch
M&M,2021,2021-12-28,QC-2021-6239,Rough idling,"P5657, U0100",ASIC CJ327 failure due to EOS,According to Specification,Hanon
Kia,2021,2021-11-12,QC-2021-6780,Starting Problem,"C0045, P0455, P1245",Track burnt due to EOS,According to Specification,NA
Toyota,2021,2021-03-02,QC-2021-6946,High fuel consumption,NA,Track burnt due to EOS,Customer Failure,Hanon
Hyundai,2024,2024-03-13,QC-2024-7065,Starting Problem,NA,Sensor short due to moisture,Customer Failure,Valeo
TATA,2024,2024-09-15,QC-2024-2623,Starting Problem,"P6768, P1245, P0301",ASIC CJ327 failure due to EOS,Production Failure,STM
Kia,2020,2020-01-30,QC-2020-5113,Brake warning light ON,,Connector damage,Production Failure,Valeo
Honda,2024,2024-08-21,QC-2024-2714,Brake warning light ON,,Connector damage,Customer Failure,NA
M&M,2020,2020-08-18,QC-2020-5466,Engine jerking during acceleration,,controller failure due to supplier production failure,Production Failure,Valeo
Toyota,2021,2021-10-24,QC-2021-2704,OBD Light ON,NA,Connector damage,According to Specification,Hanon
Honda,2019,2019-02-04,QC-2019-5891,Vehicle not starting,P1245,ASIC CJ327 failure due to EOS,According to Specification,STM
Ashok Leyland,2019,2019-01-15,QC-2019-1032,OBD Light ON,NA,NTF,According to Specification,Valeo
Ashok Leyland,2020,2020-03-21,QC-2020-3278,OBD Light ON,"B1234, P1245",Track burnt due to EOS,Customer Failure,Valeo
M&M,2021,2021-05-15,QC-2021-1619,Engine jerking during acceleration,P0987,Connector damage,Customer Failure,Valeo
Kia,2022,2022-04-04,QC-2022-8676,Low pickup,"P6344, C0045",NTF,Production Failure,Hanon
Ashok Leyland,2024,2024-02-27,QC-2024-2242,High fuel consumption,NA,Connector damage,Customer Failure,Hanon
