Customer,Year,Date,QC_Number,Customer Complaint,DTC,Voltage,Failure Analysis,Warranty Decision,Supplier,Mileage_km
TATA,2021,2021-10-26,QC-2021-001605,Multiple warning lights ON,P0606,15.27,ASIC CJ327 failure due to EOS,Production Failure,Valeo,50301
Kia,2022,2022-12-17,QC-2022-001606,Battery warning light ON,"P0562, P0304, P0563",17.72,Track burnt due to EOS,Customer Failure,Hanon,76527
Toyota,2022,2022-04-12,QC-2022-001607,Rough idling,,14.4,NTF,According to Specification,STM,88150
Ashok Leyland,2024,2024-10-13,QC-2024-001608,Multiple warning lights ON,P0601,15.92,ASIC CJ327 failure due to EOS,Production Failure,Delphi,103096
M&M,2024,2024-12-20,QC-2024-001609,Low pickup,P0316,13.35,NTF,According to Specification,Hanon,101721
Hyundai,2022,2022-12-13,QC-2022-001610,Starting Problem,"B1234, C0045",13.34,Connector damage,Customer Failure,Valeo,36748
M&M,2024,2024-07-01,QC-2024-001611,ABS warning light ON,C0031,14.5,Connector damage,Production Failure,Bosch,65670
TATA,2022,2022-01-05,QC-2022-001612,Battery warning light ON,P0562,15.58,ASIC CJ327 failure due to EOS,Production Failure,Delphi,36476
M&M,2024,2024-12-01,QC-2024-001613,ABS warning light ON,C0045,13.31,Connector damage,Production Failure,Delphi,159334
Honda,2024,2024-05-23,QC-2024-001614,Engine jerking during acceleration,"P0302, U0155",18.29,Track burnt due to EOS,Customer Failure,Hanon,65506
Kia,2024,2024-05-17,QC-2024-001615,Multiple warning lights ON,"P0610, P0608",15.46,ASIC CJ327 failure due to EOS,Production Failure,STM,5000
Honda,2022,2022-01-29,QC-2022-001616,OBD Light ON,,13.15,NTF,According to Specification,Valeo,24029
TATA,2024,2024-05-08,QC-2024-001617,Transmission jerking,"U0101, P0480, P0562",16.23,Track burnt due to EOS,Customer Failure,Delphi,22515
Ashok Leyland,2021,2021-12-26,QC-2021-001618,Multiple warning lights ON,P0610,15.2,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,47322
Ashok Leyland,2024,2024-05-09,QC-2024-001619,Rough idling,P0196,12.8,Sensor short due to moisture,Customer Failure,STM,2000
Honda,2021,2021-06-11,QC-2021-001620,Brake warning light ON,"B1045, C0265",12.5,Connector damage,Production Failure,Bosch,89164
Hyundai,2019,2019-04-13,QC-2019-001621,High fuel consumption,,13.15,NTF,According to Specification,Delphi,35080
Ashok Leyland,2024,2024-01-17,QC-2024-001622,Multiple warning lights ON,P0610,14.92,ASIC CJ327 failure due to EOS,Production Failure,STM,59278
Toyota,2024,2024-12-18,QC-2024-001623,Engine stalling,,13.08,NTF,According to Specification,Valeo,59539
Kia,2019,2019-05-16,QC-2019-001624,Engine overheating,"P0480, P0615",17.63,Track burnt due to EOS,Customer Failure,Bosch,1000
Toyota,2023,2023-04-23,QC-2023-001625,Starting Problem,P0112,12.84,Sensor short due to moisture,Customer Failure,Bosch,80828
Ashok Leyland,2019,2019-03-11,QC-2019-001626,Multiple warning lights ON,U0001,10.61,controller failure due to supplier production failure,Production Failure,Bosch,22550
Hyundai,2024,2024-12-17,QC-2024-001627,Battery warning light ON,P0563,15.24,ASIC CJ327 failure due to EOS,Production Failure,STM,113688
Honda,2023,2023-09-19,QC-2023-001628,OBD Light ON,"B1031, C0045",13.26,Connector damage,Production Failure,Hanon,109587
Kia,2020,2020-04-16,QC-2020-001629,Battery warning light ON,"P0620, U0101",19.54,Track burnt due to EOS,Customer Failure,Valeo,30809
Honda,2024,2024-01-08,QC-2024-001630,Rough idling,,12.78,NTF,According to Specification,Delphi,61215
Ashok Leyland,2024,2024-07-05,QC-2024-001631,OBD Light ON,"C0045, C0051",14.5,Connector damage,Production Failure,Hanon,128883
Hyundai,2021,2021-04-30,QC-2021-001632,Vehicle not starting,"P0300, P0302, P0480, P0304",18.37,Track burnt due to EOS,Customer Failure,Bosch,50485
Toyota,2022,2022-07-17,QC-2022-001633,Starting Problem,P0606,15.56,ASIC CJ327 failure due to EOS,Customer Failure,STM,52234
Hyundai,2020,2020-11-08,QC-2020-001634,Multiple warning lights ON,"P0620, P0303, P0301",16.3,Track burnt due to EOS,Customer Failure,Delphi,37497
Kia,2021,2021-05-23,QC-2021-001635,Battery warning light ON,P0562,15.83,ASIC CJ327 failure due to EOS,Production Failure,Bosch,44071
M&M,2022,2022-09-27,QC-2022-001636,Brake warning light ON,B1031,13.08,Connector damage,Production Failure,Bosch,130909
Toyota,2024,2024-12-25,QC-2024-001637,Engine stalling,"P0054, P0072",13.06,Sensor short due to moisture,Customer Failure,Bosch,95888
TATA,2019,2019-10-06,QC-2019-001638,Engine jerking during acceleration,"P0605, P0601",15.86,ASIC CJ327 failure due to EOS,Customer Failure,STM,84402
Ashok Leyland,2023,2023-04-03,QC-2023-001639,Brake warning light ON,B3055,13.79,Connector damage,Production Failure,Valeo,111958
Hyundai,2024,2024-06-14,QC-2024-001640,Engine overheating,"U0100, P0302, U0101, P1682, P0620",20.0,Track burnt due to EOS,Customer Failure,Hanon,1000
Toyota,2023,2023-10-09,QC-2023-001641,Brake warning light ON,"C0460, C0031",13.15,Connector damage,Production Failure,Delphi,92230
Toyota,2020,2020-11-29,QC-2020-001642,Multiple warning lights ON,"B1045, C0265, C0051",14.16,Connector damage,Customer Failure,Bosch,128405
Honda,2023,2023-12-08,QC-2023-001643,Battery warning light ON,"P0562, U0100, P0620, P0480, P0303",17.86,Track burnt due to EOS,Customer Failure,STM,54012
Ashok Leyland,2020,2020-05-28,QC-2020-001644,Engine stalling,,12.97,NTF,According to Specification,Hanon,67751
Ashok Leyland,2024,2024-11-22,QC-2024-001645,Starting Problem,P0113,12.94,Sensor short due to moisture,Customer Failure,Delphi,115377
Toyota,2022,2022-06-23,QC-2022-001646,Starting Problem,P0197,12.45,Sensor short due to moisture,Customer Failure,Hanon,116914
Toyota,2024,2024-11-25,QC-2024-001647,Multiple warning lights ON,"P0604, P0610",15.85,ASIC CJ327 failure due to EOS,Customer Failure,Valeo,66379
Honda,2024,2024-01-28,QC-2024-001648,OBD Light ON,C0460,13.33,Connector damage,Customer Failure,Valeo,37053
Honda,2023,2023-05-14,QC-2023-001649,Multiple warning lights ON,U0001,10.15,controller failure due to supplier production failure,Production Failure,Delphi,500
Kia,2024,2024-12-03,QC-2024-001650,High fuel consumption,,13.39,NTF,According to Specification,Valeo,50538
Kia,2019,2019-11-25,QC-2019-001651,Multiple warning lights ON,U0073,10.33,controller failure due to supplier production failure,Production Failure,Bosch,38469
Honda,2022,2022-06-29,QC-2022-001652,Engine stalling,"P0038, P0128",12.71,Sensor short due to moisture,Customer Failure,STM,54049
Hyundai,2023,2023-07-15,QC-2023-001653,OBD Light ON,,13.03,NTF,According to Specification,Valeo,3433
Hyundai,2024,2024-06-30,QC-2024-001654,Vehicle not starting,"P0563, P1682",17.39,Track burnt due to EOS,Customer Failure,Bosch,49969
TATA,2020,2020-03-27,QC-2020-001655,Battery warning light ON,P0562,15.99,ASIC CJ327 failure due to EOS,Production Failure,STM,79395
Honda,2024,2024-05-24,QC-2024-001656,Battery warning light ON,"P0303, U0100",18.25,Track burnt due to EOS,Customer Failure,Valeo,75221
TATA,2024,2024-06-07,QC-2024-001657,Low pickup,,12.5,NTF,According to Specification,Delphi,24853
Ashok Leyland,2024,2024-10-24,QC-2024-001658,Engine overheating,,13.98,NTF,According to Specification,STM,49380
Kia,2022,2022-01-05,QC-2022-001659,Engine overheating,"U0100, U0001, P0563",16.44,Track burnt due to EOS,Customer Failure,Bosch,9878
Kia,2022,2022-06-14,QC-2022-001660,OBD Light ON,,12.78,NTF,According to Specification,Valeo,37182
Hyundai,2023,2023-08-07,QC-2023-001661,Engine jerking during acceleration,P0563,14.84,ASIC CJ327 failure due to EOS,Production Failure,Delphi,50492
M&M,2023,2023-09-08,QC-2023-001662,Multiple warning lights ON,"P0604, P0608",15.4,ASIC CJ327 failure due to EOS,Customer Failure,STM,73041
TATA,2021,2021-01-29,QC-2021-001663,OBD Light ON,P0420,13.08,NTF,According to Specification,Valeo,43488
Honda,2019,2019-03-12,QC-2019-001664,Multiple warning lights ON,"U0155, U0184",10.24,controller failure due to supplier production failure,Production Failure,Valeo,25781
Ashok Leyland,2023,2023-09-08,QC-2023-001665,Multiple warning lights ON,P0605,15.21,ASIC CJ327 failure due to EOS,Production Failure,Delphi,31837
M&M,2023,2023-10-24,QC-2023-001666,Engine overheating,"P0481, P0301",17.09,Track burnt due to EOS,Customer Failure,Hanon,108184
Hyundai,2021,2021-10-17,QC-2021-001667,Starting Problem,"P0128, P0073",13.12,Sensor short due to moisture,Customer Failure,STM,21683
M&M,2020,2020-12-13,QC-2020-001668,Engine overheating,"P0069, P0118",12.81,Sensor short due to moisture,Customer Failure,STM,86087
Hyundai,2022,2022-03-19,QC-2022-001669,Vehicle not starting,U0131,11.5,controller failure due to supplier production failure,Production Failure,STM,500
Honda,2024,2024-02-06,QC-2024-001670,Rough idling,P0038,13.5,Sensor short due to moisture,Customer Failure,Valeo,69956
TATA,2020,2020-01-17,QC-2020-001671,Battery warning light ON,"P0563, U0100",18.34,Track burnt due to EOS,Customer Failure,Delphi,56381
TATA,2023,2023-06-29,QC-2023-001672,Multiple warning lights ON,"U0155, P1682, P0562",19.31,Track burnt due to EOS,Customer Failure,STM,16609
Ashok Leyland,2023,2023-03-03,QC-2023-001673,Battery warning light ON,"P0563, P0302, U0101, P0300",17.84,Track burnt due to EOS,Customer Failure,Bosch,64163
TATA,2023,2023-04-17,QC-2023-001674,Brake warning light ON,B1045,14.19,Connector damage,Production Failure,Valeo,64891
Ashok Leyland,2024,2024-10-01,QC-2024-001675,OBD Light ON,P0135,12.95,Sensor short due to moisture,Customer Failure,Valeo,91893
M&M,2020,2020-08-26,QC-2020-001676,Multiple warning lights ON,"U0101, P0303, U0155, P0482, P0562",18.86,Track burnt due to EOS,Customer Failure,STM,26097
Toyota,2023,2023-11-22,QC-2023-001677,Starting Problem,,13.49,NTF,According to Specification,Delphi,101794
Ashok Leyland,2023,2023-10-25,QC-2023-001678,OBD Light ON,,13.74,NTF,According to Specification,Delphi,56804
Hyundai,2023,2023-08-25,QC-2023-001679,OBD Light ON,P0420,13.06,NTF,According to Specification,Hanon,57471
Kia,2020,2020-06-22,QC-2020-001680,Starting Problem,U0103,10.92,controller failure due to supplier production failure,Production Failure,Bosch,47260
M&M,2023,2023-04-13,QC-2023-001681,Engine overheating,"P0482, U0001",18.23,Track burnt due to EOS,Customer Failure,Delphi,79607
Hyundai,2023,2023-12-16,QC-2023-001682,Starting Problem,,14.4,NTF,According to Specification,Bosch,500
Toyota,2023,2023-01-28,QC-2023-001683,Low pickup,,13.93,NTF,According to Specification,STM,37719
Toyota,2022,2022-09-06,QC-2022-001684,Starting Problem,C0265,13.26,Connector damage,Customer Failure,Valeo,91252
TATA,2024,2024-06-09,QC-2024-001685,ABS warning light ON,C0045,12.5,Connector damage,Customer Failure,Bosch,24629
M&M,2023,2023-08-11,QC-2023-001686,Engine stalling,P0112,12.09,Sensor short due to moisture,Customer Failure,Bosch,56343
M&M,2024,2024-06-13,QC-2024-001687,ABS warning light ON,"C0036, C0550",13.89,Connector damage,Production Failure,Valeo,119583
Ashok Leyland,2020,2020-09-10,QC-2020-001688,Multiple warning lights ON,U0122,9.63,controller failure due to supplier production failure,Production Failure,Valeo,33915
Ashok Leyland,2023,2023-11-17,QC-2023-001689,Engine overheating,P0069,12.74,Sensor short due to moisture,Customer Failure,Valeo,89736
TATA,2021,2021-09-04,QC-2021-001690,Starting Problem,P0607,16.0,ASIC CJ327 failure due to EOS,Customer Failure,STM,98944
Honda,2021,2021-11-28,QC-2021-001691,Rough idling,,12.5,NTF,According to Specification,Hanon,96492
Honda,2023,2023-04-12,QC-2023-001692,Engine jerking during acceleration,"P0301, U0155, P0482, P0302",18.92,Track burnt due to EOS,Customer Failure,STM,81202
Kia,2019,2019-03-31,QC-2019-001693,OBD Light ON,P0316,13.83,NTF,According to Specification,Bosch,113978
Hyundai,2023,2023-09-10,QC-2023-001694,OBD Light ON,,13.16,NTF,According to Specification,Delphi,84030
Ashok Leyland,2021,2021-02-06,QC-2021-001695,Transmission jerking,"U0103, U0121",10.08,controller failure due to supplier production failure,Production Failure,STM,3032
Kia,2023,2023-08-12,QC-2023-001696,High fuel consumption,P0300,13.62,NTF,According to Specification,Delphi,56004
TATA,2023,2023-03-07,QC-2023-001697,Multiple warning lights ON,P0604,15.56,ASIC CJ327 failure due to EOS,Customer Failure,STM,55495
Ashok Leyland,2024,2024-05-11,QC-2024-001698,Starting Problem,P0038,12.82,Sensor short due to moisture,Customer Failure,Bosch,56527
Kia,2024,2024-06-27,QC-2024-001699,Transmission jerking,"U0101, P0482",18.7,Track burnt due to EOS,Customer Failure,Delphi,99061
M&M,2019,2019-11-22,QC-2019-001700,OBD Light ON,,13.75,NTF,According to Specification,Valeo,37868
Honda,2022,2022-07-07,QC-2022-001701,Rough idling,P0054,11.67,Sensor short due to moisture,Customer Failure,Valeo,7685
Hyundai,2020,2020-11-30,QC-2020-001702,Vehicle not starting,U0131,10.17,controller failure due to supplier production failure,Production Failure,Bosch,23592
Toyota,2019,2019-06-06,QC-2019-001703,Multiple warning lights ON,P0604,15.14,ASIC CJ327 failure due to EOS,Production Failure,Bosch,51023
TATA,2023,2023-10-01,QC-2023-001704,Multiple warning lights ON,P0604,15.37,ASIC CJ327 failure due to EOS,Production Failure,Delphi,71529
Honda,2021,2021-04-11,QC-2021-001705,OBD Light ON,B1234,13.15,Connector damage,Production Failure,Hanon,76064
TATA,2021,2021-04-02,QC-2021-001706,Vehicle not starting,"P0300, U0100, U0101, P0481, P0615",16.79,Track burnt due to EOS,Customer Failure,Delphi,121666
Ashok Leyland,2022,2022-05-03,QC-2022-001707,Multiple warning lights ON,P0606,15.12,ASIC CJ327 failure due to EOS,Production Failure,Valeo,24835
M&M,2022,2022-02-02,QC-2022-001708,Engine stalling,P0340,13.26,NTF,According to Specification,Valeo,14030
Ashok Leyland,2024,2024-12-02,QC-2024-001709,Starting Problem,,12.5,NTF,According to Specification,Delphi,52207
Toyota,2022,2022-03-24,QC-2022-001710,OBD Light ON,,12.5,NTF,According to Specification,Bosch,9079
Toyota,2024,2024-06-12,QC-2024-001711,Battery warning light ON,B1045,13.08,Connector damage,Production Failure,Bosch,63455
Ashok Leyland,2024,2024-11-07,QC-2024-001712,Engine overheating,P0128,12.84,Sensor short due to moisture,Customer Failure,Valeo,49769
Honda,2024,2024-02-22,QC-2024-001713,Low pickup,,13.52,NTF,According to Specification,Valeo,48631
Ashok Leyland,2024,2024-10-02,QC-2024-001714,Engine overheating,P0420,13.69,NTF,According to Specification,Valeo,10267
Hyundai,2020,2020-05-16,QC-2020-001715,Multiple warning lights ON,"U0155, P0615, P0563, P0562, P0300",18.19,Track burnt due to EOS,Customer Failure,Delphi,1000
Ashok Leyland,2024,2024-02-18,QC-2024-001716,Multiple warning lights ON,P0601,15.03,ASIC CJ327 failure due to EOS,Customer Failure,STM,68046
TATA,2023,2023-05-17,QC-2023-001717,Multiple warning lights ON,U0001,9.62,controller failure due to supplier production failure,Production Failure,Bosch,15961
Hyundai,2023,2023-06-30,QC-2023-001718,Battery warning light ON,"P0562, P0620",18.35,Track burnt due to EOS,Customer Failure,Valeo,13063
Toyota,2021,2021-12-09,QC-2021-001719,ABS warning light ON,"C0031, C0036",12.87,Connector damage,Customer Failure,Delphi,126539
Ashok Leyland,2024,2024-02-23,QC-2024-001720,Low pickup,,14.3,NTF,According to Specification,STM,66306
Toyota,2024,2024-10-05,QC-2024-001721,Starting Problem,,13.67,NTF,According to Specification,Delphi,94640
TATA,2020,2020-02-01,QC-2020-001722,OBD Light ON,,13.61,NTF,According to Specification,Delphi,49176
Kia,2021,2021-11-14,QC-2021-001723,Engine overheating,"P0054, P0112",12.89,Sensor short due to moisture,Customer Failure,Valeo,55221
Ashok Leyland,2023,2023-05-13,QC-2023-001724,Transmission jerking,U0121,10.81,controller failure due to supplier production failure,Production Failure,STM,500
Hyundai,2023,2023-11-11,QC-2023-001725,Brake warning light ON,C0265,13.27,Connector damage,Production Failure,Bosch,114522
TATA,2021,2021-02-21,QC-2021-001726,Rough idling,,13.05,NTF,According to Specification,Delphi,500
Ashok Leyland,2024,2024-02-01,QC-2024-001727,Engine overheating,P0117,12.56,Sensor short due to moisture,Customer Failure,STM,11783
TATA,2023,2023-06-17,QC-2023-001728,Battery warning light ON,P0562,15.13,ASIC CJ327 failure due to EOS,Production Failure,Delphi,130911
Kia,2024,2024-01-01,QC-2024-001729,Engine overheating,"P0480, P0303",16.56,Track burnt due to EOS,Customer Failure,Hanon,81321
Kia,2024,2024-04-06,QC-2024-001730,Brake warning light ON,"C0036, C0051, B1234",13.76,Connector damage,Customer Failure,STM,96898
Hyundai,2023,2023-12-07,QC-2023-001731,Engine stalling,,13.53,NTF,According to Specification,STM,23571
TATA,2021,2021-05-05,QC-2021-001732,Vehicle not starting,"P0620, U0155, P0304",17.84,Track burnt due to EOS,Customer Failure,Delphi,85259
Hyundai,2020,2020-09-12,QC-2020-001733,Starting Problem,"P0482, P0300, P0303, P0304",19.23,Track burnt due to EOS,Customer Failure,Valeo,126925
M&M,2023,2023-08-17,QC-2023-001734,OBD Light ON,P0420,13.3,NTF,According to Specification,Delphi,37167
Hyundai,2022,2022-06-03,QC-2022-001735,Engine overheating,"U0001, P0562, P0615",18.25,Track burnt due to EOS,Customer Failure,Hanon,102872
Hyundai,2021,2021-03-24,QC-2021-001736,Engine jerking during acceleration,"P0301, U0101",17.55,Track burnt due to EOS,Customer Failure,Bosch,79388
Ashok Leyland,2023,2023-11-25,QC-2023-001737,Multiple warning lights ON,B1045,13.27,Connector damage,Production Failure,Valeo,47999
M&M,2024,2024-01-20,QC-2024-001738,High fuel consumption,,12.5,NTF,According to Specification,Valeo,30063
Hyundai,2019,2019-08-23,QC-2019-001739,Battery warning light ON,P0610,15.16,ASIC CJ327 failure due to EOS,Customer Failure,Hanon,50729
Ashok Leyland,2020,2020-06-17,QC-2020-001740,Multiple warning lights ON,U0100,10.71,controller failure due to supplier production failure,Production Failure,Delphi,40159
Toyota,2021,2021-12-28,QC-2021-001741,Low pickup,,12.52,NTF,According to Specification,Hanon,117405
TATA,2023,2023-10-02,QC-2023-001742,Starting Problem,,12.55,NTF,According to Specification,Delphi,60062
TATA,2023,2023-10-20,QC-2023-001743,Battery warning light ON,"U0100, P0482, P1682",18.82,Track burnt due to EOS,Customer Failure,Bosch,60065
Ashok Leyland,2024,2024-08-19,QC-2024-001744,Multiple warning lights ON,P0602,15.18,ASIC CJ327 failure due to EOS,Customer Failure,STM,118272
Toyota,2024,2024-08-01,QC-2024-001745,OBD Light ON,,13.35,NTF,According to Specification,Bosch,42610
Kia,2020,2020-07-17,QC-2020-001746,Multiple warning lights ON,P0607,15.18,ASIC CJ327 failure due to EOS,Production Failure,Delphi,95302
Honda,2020,2020-05-10,QC-2020-001747,High fuel consumption,,13.89,NTF,According to Specification,STM,58855
TATA,2022,2022-10-22,QC-2022-001748,Battery warning light ON,"P0604, P0601",15.53,ASIC CJ327 failure due to EOS,Production Failure,STM,56058
Kia,2023,2023-04-07,QC-2023-001749,Multiple warning lights ON,P0606,15.04,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,75719
Kia,2022,2022-12-22,QC-2022-001750,Starting Problem,,13.92,NTF,According to Specification,Hanon,43990
Ashok Leyland,2024,2024-08-10,QC-2024-001751,Multiple warning lights ON,P0601,15.6,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,68450
Honda,2023,2023-05-18,QC-2023-001752,Battery warning light ON,P0562,15.15,ASIC CJ327 failure due to EOS,Production Failure,Delphi,13283
Ashok Leyland,2023,2023-03-05,QC-2023-001753,Starting Problem,,13.9,NTF,According to Specification,Hanon,1882
Kia,2023,2023-01-08,QC-2023-001754,OBD Light ON,P0171,13.12,NTF,According to Specification,Bosch,47637
TATA,2024,2024-12-10,QC-2024-001755,Engine jerking during acceleration,"P0300, P0615",19.64,Track burnt due to EOS,Customer Failure,Bosch,18051
TATA,2024,2024-11-11,QC-2024-001756,Low pickup,P0605,15.48,ASIC CJ327 failure due to EOS,Production Failure,STM,53736
Honda,2022,2022-12-25,QC-2022-001757,Rough idling,,12.91,NTF,According to Specification,STM,43995
Ashok Leyland,2020,2020-04-26,QC-2020-001758,Engine overheating,,13.83,NTF,According to Specification,STM,64244
Kia,2020,2020-02-03,QC-2020-001759,Multiple warning lights ON,U0164,10.05,controller failure due to supplier production failure,Production Failure,Bosch,33179
Hyundai,2020,2020-02-10,QC-2020-001760,High fuel consumption,P0135,12.29,Sensor short due to moisture,Customer Failure,Delphi,63040
Ashok Leyland,2022,2022-04-16,QC-2022-001761,Battery warning light ON,P0563,15.09,ASIC CJ327 failure due to EOS,Production Failure,Valeo,27938
Ashok Leyland,2024,2024-11-29,QC-2024-001762,Multiple warning lights ON,P0607,15.01,ASIC CJ327 failure due to EOS,Production Failure,Delphi,15003
Toyota,2021,2021-07-16,QC-2021-001763,Rough idling,"P0300, P0481",19.76,Track burnt due to EOS,Customer Failure,Hanon,75461
Kia,2021,2021-02-10,QC-2021-001764,Engine overheating,"P0481, U0101",19.49,Track burnt due to EOS,Customer Failure,Bosch,16749
M&M,2024,2024-06-23,QC-2024-001765,ABS warning light ON,C0036,14.19,Connector damage,Production Failure,Valeo,137376
Toyota,2024,2024-05-13,QC-2024-001766,Engine overheating,"P0480, U0001, P0303, P0300",17.4,Track burnt due to EOS,Customer Failure,Delphi,50165
Ashok Leyland,2020,2020-01-14,QC-2020-001767,Multiple warning lights ON,P0563,15.97,ASIC CJ327 failure due to EOS,Customer Failure,STM,97979
Kia,2024,2024-08-26,QC-2024-001768,OBD Light ON,B1045,13.36,Connector damage,Production Failure,Hanon,64641
TATA,2023,2023-01-20,QC-2023-001769,Battery warning light ON,P0601,15.25,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,5000
TATA,2023,2023-04-25,QC-2023-001770,Brake warning light ON,"C0045, P0500",14.44,Connector damage,Production Failure,Delphi,118326
Kia,2021,2021-04-06,QC-2021-001771,Vehicle not starting,"P1682, P0480, P0563",16.94,Track burnt due to EOS,Customer Failure,Delphi,148056
Ashok Leyland,2023,2023-02-19,QC-2023-001772,Engine overheating,,12.72,NTF,According to Specification,Delphi,86461
TATA,2022,2022-06-01,QC-2022-001773,Vehicle not starting,"P1682, P0481",17.47,Track burnt due to EOS,Customer Failure,Bosch,104412
Hyundai,2024,2024-01-26,QC-2024-001774,Vehicle not starting,U0121,9.67,controller failure due to supplier production failure,Production Failure,Delphi,23937
M&M,2021,2021-03-29,QC-2021-001775,Rough idling,"P0304, P0300, U0100",16.18,Track burnt due to EOS,Customer Failure,Valeo,44508
Toyota,2023,2023-01-09,QC-2023-001776,Starting Problem,"P0620, P0563",17.1,Track burnt due to EOS,Customer Failure,STM,42207
Honda,2023,2023-05-28,QC-2023-001777,OBD Light ON,,12.5,NTF,According to Specification,Bosch,94857
TATA,2024,2024-06-07,QC-2024-001778,OBD Light ON,,13.29,NTF,According to Specification,Bosch,58260
Toyota,2024,2024-03-19,QC-2024-001779,Starting Problem,"P0605, P0606",15.38,ASIC CJ327 failure due to EOS,Customer Failure,STM,80707
Honda,2020,2020-08-10,QC-2020-001780,Rough idling,"P0304, P0301",20.0,Track burnt due to EOS,Customer Failure,STM,138006
TATA,2022,2022-08-18,QC-2022-001781,OBD Light ON,,12.5,NTF,According to Specification,Valeo,9140
M&M,2024,2024-10-22,QC-2024-001782,Engine overheating,,12.76,NTF,According to Specification,STM,46532
TATA,2023,2023-12-24,QC-2023-001783,Multiple warning lights ON,"U0155, U0101, P0482",16.1,Track burnt due to EOS,Customer Failure,Bosch,20259
M&M,2023,2023-08-25,QC-2023-001784,Engine stalling,P0072,12.15,Sensor short due to moisture,Customer Failure,STM,37755
TATA,2021,2021-07-17,QC-2021-001785,Vehicle not starting,"P0304, P0300, P0563, P0562",18.17,Track burnt due to EOS,Customer Failure,Valeo,47298
Ashok Leyland,2023,2023-02-11,QC-2023-001786,OBD Light ON,P0340,12.76,NTF,According to Specification,Valeo,24533
Kia,2022,2022-05-04,QC-2022-001787,ABS warning light ON,C0045,13.79,Connector damage,Customer Failure,Bosch,34904
TATA,2023,2023-10-19,QC-2023-001788,Multiple warning lights ON,"P0301, U0155, P0300",18.64,Track burnt due to EOS,Customer Failure,Valeo,96339
Toyota,2024,2024-03-26,QC-2024-001789,Engine stalling,P0197,13.01,Sensor short due to moisture,Customer Failure,STM,51841
Kia,2023,2023-01-28,QC-2023-001790,Rough idling,P0174,12.94,NTF,According to Specification,Bosch,9354
Kia,2024,2024-06-19,QC-2024-001791,Battery warning light ON,"P0562, P0563, U0001",18.39,Track burnt due to EOS,Customer Failure,Bosch,75939
Ashok Leyland,2022,2022-11-02,QC-2022-001792,OBD Light ON,,13.96,NTF,According to Specification,Bosch,500
Kia,2024,2024-07-18,QC-2024-001793,Engine stalling,,12.93,NTF,According to Specification,Valeo,29332
Hyundai,2023,2023-08-05,QC-2023-001794,Engine stalling,P0069,12.66,Sensor short due to moisture,Customer Failure,STM,126097
M&M,2024,2024-04-06,QC-2024-001795,Battery warning light ON,B3055,13.17,Connector damage,Production Failure,Hanon,98382
Ashok Leyland,2024,2024-04-25,QC-2024-001796,Multiple warning lights ON,"P0304, U0100",16.67,Track burnt due to EOS,Customer Failure,Hanon,93210
Kia,2019,2019-07-31,QC-2019-001797,Engine stalling,,12.5,NTF,According to Specification,STM,25053
Hyundai,2022,2022-05-23,QC-2022-001798,Engine overheating,"P0301, P0480, P0302, P0563",16.1,Track burnt due to EOS,Customer Failure,STM,86165
M&M,2024,2024-06-24,QC-2024-001799,Starting Problem,P0131,13.5,Sensor short due to moisture,Customer Failure,Hanon,21651
TATA,2022,2022-06-08,QC-2022-001800,High fuel consumption,,13.08,NTF,According to Specification,Bosch,40303
TATA,2019,2019-05-22,QC-2019-001801,High fuel consumption,,13.48,NTF,According to Specification,Valeo,55520
Toyota,2020,2020-04-26,QC-2020-001802,Brake warning light ON,C0460,13.44,Connector damage,Production Failure,Bosch,128973
Ashok Leyland,2023,2023-10-30,QC-2023-001803,OBD Light ON,B1031,13.02,Connector damage,Customer Failure,Bosch,117948
M&M,2021,2021-08-13,QC-2021-001804,Starting Problem,P0113,13.05,Sensor short due to moisture,Customer Failure,STM,78428
Hyundai,2021,2021-04-17,QC-2021-001805,Engine jerking during acceleration,"P0605, P0611",15.12,ASIC CJ327 failure due to EOS,Production Failure,STM,58956
M&M,2021,2021-01-29,QC-2021-001806,Battery warning light ON,P0563,14.24,ASIC CJ327 failure due to EOS,Production Failure,STM,51550
Hyundai,2021,2021-07-20,QC-2021-001807,Vehicle not starting,"P0563, P0302",17.62,Track burnt due to EOS,Customer Failure,Valeo,72839
Honda,2022,2022-07-29,QC-2022-001808,Multiple warning lights ON,U0073,10.41,controller failure due to supplier production failure,Production Failure,STM,28506
TATA,2024,2024-10-15,QC-2024-001809,ABS warning light ON,C0051,13.71,Connector damage,Customer Failure,Valeo,128505
Toyota,2023,2023-06-28,QC-2023-001810,Multiple warning lights ON,"U0155, U0100, P0620",18.27,Track burnt due to EOS,Customer Failure,Bosch,96337
Ashok Leyland,2023,2023-07-26,QC-2023-001811,OBD Light ON,,12.5,NTF,According to Specification,Delphi,32857
Toyota,2023,2023-07-02,QC-2023-001812,Multiple warning lights ON,U0073,11.5,controller failure due to supplier production failure,Production Failure,Bosch,22694
Toyota,2021,2021-05-13,QC-2021-001813,Engine stalling,,12.83,NTF,According to Specification,STM,40159
Toyota,2020,2020-06-24,QC-2020-001814,OBD Light ON,,12.52,NTF,According to Specification,STM,32973
